elapsed_s,phase,round,base_addr,ok,wr_done,rd_done,mism,rd_error,cum_beats,fails,eye_fails
8.5,init-verify-B,0,0x04000000,1,1,1,0,0,1048576,0,0
9.2,soak,1,0x01C00000,1,1,1,0,0,2097152,0,0
9.9,soak,2,0x03800000,1,1,1,0,0,3145728,0,0
10.6,soak,3,0x01800000,1,1,1,0,0,4194304,0,0
11.3,soak,4,0x03400000,1,1,1,0,0,5242880,0,0
12.0,soak,5,0x01400000,1,1,1,0,0,6291456,0,0
12.7,soak,6,0x03000000,1,1,1,0,0,7340032,0,0
13.5,soak,7,0x01000000,1,1,1,0,0,8388608,0,0
14.2,soak,8,0x02C00000,1,1,1,0,0,9437184,0,0
14.9,soak,9,0x00C00000,1,1,1,0,0,10485760,0,0
15.5,concurrent,10,0x02800000,0,1,1,7,1,11534336,1,0
16.1,verify-A,10,0x02800000,0,1,1,0,1,12582912,2,0
16.8,soak,11,0x00800000,1,1,1,0,0,13631488,2,0
17.5,soak,12,0x02400000,1,1,1,0,0,14680064,2,0
18.2,soak,13,0x00400000,1,1,1,0,0,15728640,2,0
18.9,soak,14,0x02000000,1,1,1,0,0,16777216,2,0
19.6,soak,15,0x00000000,1,1,1,0,0,17825792,2,0
20.3,soak,16,0x01C00000,1,1,1,0,0,18874368,2,0
21.0,soak,17,0x03800000,1,1,1,0,0,19922944,2,0
21.7,soak,18,0x01800000,1,1,1,0,0,20971520,2,0
22.4,soak,19,0x03400000,1,1,1,0,0,22020096,2,0
23.1,concurrent,20,0x01400000,0,1,1,2,1,23068672,3,0
23.6,verify-A,20,0x01400000,0,1,1,0,1,24117248,4,0
24.4,soak,21,0x03000000,1,1,1,0,0,25165824,4,0
25.1,soak,22,0x01000000,1,1,1,0,0,26214400,4,0
25.8,soak,23,0x02C00000,1,1,1,0,0,27262976,4,0
26.5,soak,24,0x00C00000,1,1,1,0,0,28311552,4,0
27.2,soak,25,0x02800000,1,1,1,0,0,29360128,4,0
27.9,soak,26,0x00800000,1,1,1,0,0,30408704,4,0
28.6,soak,27,0x02400000,1,1,1,0,0,31457280,4,0
29.3,soak,28,0x00400000,1,1,1,0,0,32505856,4,0
30.0,soak,29,0x02000000,1,1,1,0,0,33554432,4,0
30.7,concurrent,30,0x00000000,0,1,1,2,1,34603008,5,0
31.2,verify-A,30,0x00000000,0,1,1,0,1,35651584,6,0
31.9,soak,31,0x01C00000,1,1,1,0,0,36700160,6,0
32.7,soak,32,0x03800000,1,1,1,0,0,37748736,6,0
33.4,soak,33,0x01800000,1,1,1,0,0,38797312,6,0
34.1,soak,34,0x03400000,1,1,1,0,0,39845888,6,0
34.8,soak,35,0x01400000,1,1,1,0,0,40894464,6,0
35.5,soak,36,0x03000000,1,1,1,0,0,41943040,6,0
36.2,soak,37,0x01000000,1,1,1,0,0,42991616,6,0
36.9,soak,38,0x02C00000,1,1,1,0,0,44040192,6,0
37.6,soak,39,0x00C00000,1,1,1,0,0,45088768,6,0
38.3,concurrent,40,0x02800000,0,1,1,2,1,46137344,7,0
38.8,verify-A,40,0x02800000,0,1,1,0,1,47185920,8,0
39.5,soak,41,0x00800000,1,1,1,0,0,48234496,8,0
40.2,soak,42,0x02400000,1,1,1,0,0,49283072,8,0
40.9,soak,43,0x00400000,1,1,1,0,0,50331648,8,0
41.6,soak,44,0x02000000,1,1,1,0,0,51380224,8,0
42.3,soak,45,0x00000000,1,1,1,0,0,52428800,8,0
43.1,soak,46,0x01C00000,1,1,1,0,0,53477376,8,0
43.8,soak,47,0x03800000,1,1,1,0,0,54525952,8,0
44.5,soak,48,0x01800000,1,1,1,0,0,55574528,8,0
45.2,soak,49,0x03400000,1,1,1,0,0,56623104,8,0
45.9,concurrent,50,0x01400000,0,1,1,13,1,57671680,9,0
46.4,verify-A,50,0x01400000,0,1,1,0,1,58720256,10,0
47.1,soak,51,0x03000000,1,1,1,0,0,59768832,10,0
47.9,soak,52,0x01000000,1,1,1,0,0,60817408,10,0
48.6,soak,53,0x02C00000,1,1,1,0,0,61865984,10,0
49.3,soak,54,0x00C00000,1,1,1,0,0,62914560,10,0
50.0,soak,55,0x02800000,1,1,1,0,0,63963136,10,0
50.7,soak,56,0x00800000,1,1,1,0,0,65011712,10,0
51.4,soak,57,0x02400000,1,1,1,0,0,66060288,10,0
52.1,soak,58,0x00400000,1,1,1,0,0,67108864,10,0
52.8,soak,59,0x02000000,1,1,1,0,0,68157440,10,0
53.5,concurrent,60,0x00000000,0,1,1,10,1,69206016,11,0
54.0,verify-A,60,0x00000000,0,1,1,0,1,70254592,12,0
54.7,soak,61,0x01C00000,1,1,1,0,0,71303168,12,0
55.5,soak,62,0x03800000,1,1,1,0,0,72351744,12,0
56.2,soak,63,0x01800000,1,1,1,0,0,73400320,12,0
56.9,soak,64,0x03400000,1,1,1,0,0,74448896,12,0
57.6,soak,65,0x01400000,1,1,1,0,0,75497472,12,0
58.3,soak,66,0x03000000,1,1,1,0,0,76546048,12,0
59.0,soak,67,0x01000000,1,1,1,0,0,77594624,12,0
59.7,soak,68,0x02C00000,1,1,1,0,0,78643200,12,0
60.4,soak,69,0x00C00000,1,1,1,0,0,79691776,12,0
61.1,concurrent,70,0x02800000,0,1,1,4,1,80740352,13,0
61.7,verify-A,70,0x02800000,0,1,1,0,1,81788928,14,0
62.4,soak,71,0x00800000,1,1,1,0,0,82837504,14,0
63.1,soak,72,0x02400000,1,1,1,0,0,83886080,14,0
63.8,soak,73,0x00400000,1,1,1,0,0,84934656,14,0
64.5,soak,74,0x02000000,1,1,1,0,0,85983232,14,0
65.2,soak,75,0x00000000,1,1,1,0,0,87031808,14,0
65.9,soak,76,0x01C00000,1,1,1,0,0,88080384,14,0
66.6,soak,77,0x03800000,1,1,1,0,0,89128960,14,0
67.3,soak,78,0x01800000,1,1,1,0,0,90177536,14,0
68.0,soak,79,0x03400000,1,1,1,0,0,91226112,14,0
68.7,concurrent,80,0x01400000,0,1,1,6,1,92274688,15,0
69.2,verify-A,80,0x01400000,0,1,1,0,1,93323264,16,0
69.9,soak,81,0x03000000,1,1,1,0,0,94371840,16,0
70.6,soak,82,0x01000000,1,1,1,0,0,95420416,16,0
71.3,soak,83,0x02C00000,1,1,1,0,0,96468992,16,0
72.0,soak,84,0x00C00000,1,1,1,0,0,97517568,16,0
72.7,soak,85,0x02800000,1,1,1,0,0,98566144,16,0
73.5,soak,86,0x00800000,1,1,1,0,0,99614720,16,0
74.2,soak,87,0x02400000,1,1,1,0,0,100663296,16,0
74.9,soak,88,0x00400000,1,1,1,0,0,101711872,16,0
