name,num_channels,descriptors,total_bytes,rd_delay_cyc,wr_delay_cyc,cycles,seconds,throughput_MBps,r2r_cycles,r2r_MBps,w2w_cycles,w2w_MBps,pass,timeout
1desc_1ch_512KB,1,1,524288,0,0,34837,0.00034837000000000003,1435.2556190257483,34814,1436.2038260469924,34814,1436.2038260469924,True,False
1desc_1ch_512KB,1,1,524288,32,32,34868,0.00034868000000000003,1433.979580130779,34814,1436.2038260469924,34814,1436.2038260469924,True,False
1desc_1ch_512KB,1,1,524288,64,64,34900,0.000349,1432.6647564469913,34814,1436.2038260469924,34814,1436.2038260469924,True,False
1desc_1ch_512KB,1,1,524288,96,96,34932,0.00034932,1431.3523416924309,34814,1436.2038260469924,34814,1436.2038260469924,True,False
1desc_1ch_512KB,1,1,524288,128,128,39299,0.00039299,1272.2970050128501,38998,1282.1170316426483,39149,1277.171830698102,True,False
1desc_1ch_512KB,1,1,524288,160,160,47491,0.00047491000000000005,1052.8310627276746,47126,1060.985443279718,47309,1056.881354499144,True,False
1desc_1ch_512KB,1,1,524288,192,192,55683,0.00055683,897.9401253524414,55254,904.9118615846817,55469,901.4043880365609,True,False
1desc_1ch_512KB,1,1,524288,256,256,72067,0.0007206700000000001,693.7988260923862,71510,699.2029086841001,71789,696.4855339954589,True,False
1desc_1ch_512KB,1,1,524288,384,384,104835,0.00104835,476.9399532598846,104022,480.66755109496063,104429,478.7942046749466,True,False
1desc_1ch_512KB,1,1,524288,512,512,137603,0.00137603,363.36417083929854,136534,366.20914936938783,137069,364.77978244533773,True,False
1desc_2ch_512KB,2,1,1048576,0,0,69687,0.00069687,1434.9878743524616,69630,1436.1625736033318,69664,1435.46164446486,True,False
1desc_2ch_512KB,2,1,1048576,32,32,69701,0.0006970100000000001,1434.6996456291874,69630,1436.1625736033318,69647,1435.8120234898847,True,False
1desc_2ch_512KB,2,1,1048576,64,64,69733,0.00069733,1434.0412717077998,69630,1436.1625736033318,69647,1435.8120234898847,True,False
1desc_2ch_512KB,2,1,1048576,96,96,69765,0.0006976500000000001,1433.3835017558947,69630,1436.1625736033318,69647,1435.8120234898847,True,False
