name,num_channels,descriptors,total_bytes,rd_delay_cyc,wr_delay_cyc,cycles,seconds,throughput_MBps,r2r_cycles,r2r_MBps,w2w_cycles,w2w_MBps,pass,timeout
1desc_1ch_512KB,1,1,524288,0,0,34849,0.00034849,1434.7613991793164,34814,1436.2038260469924,34815,1436.1625736033318,True,False
1desc_1ch_512KB,1,1,524288,2,2,131093,0.00131093,381.4086183091393,131054,381.52212065255543,131023,381.6123886645856,True,False
1desc_1ch_512KB,1,1,524288,4,4,196629,0.0019662900000000003,254.28599036764663,196580,254.3493743005392,196535,254.40761187574728,True,False
1desc_1ch_512KB,1,1,524288,8,8,327701,0.0032770100000000003,152.57811236462504,327632,152.61024564145137,327559,152.64425645456237,True,False
1desc_2ch_512KB,2,1,1048576,0,0,3295664,0.03295664,30.342899033396606,3295629,30.343221278851473,3295630,30.34321207174349,True,False
1desc_2ch_512KB,2,1,1048576,2,2,3349391,0.03349391,29.856173853694596,3349352,29.856521500278262,3349321,29.856797840517523,True,False
1desc_2ch_512KB,2,1,1048576,4,4,3420134,0.034201340000000004,29.238620475104188,3420085,29.239039380600186,3420040,29.239424100302923,True,False
1desc_2ch_512KB,2,1,1048576,8,8,3524306,0.03524306,28.374380658206185,3524237,28.374936191862236,3524164,28.375523954049807,True,False
1desc_4ch_512KB,4,1,2097152,0,0,9646358,0.09646358000000001,20.73321350918139,9646323,20.73328873602926,9646324,20.733286586683175,True,False
1desc_4ch_512KB,4,1,2097152,2,2,9675789,0.09675789,20.67014896666308,9675750,20.670232281735263,9675719,20.670298507015342,True,False
1desc_4ch_512KB,4,1,2097152,4,4,9784711,0.09784711,20.440051831883434,9784662,20.440154192347162,9784617,20.440248197757764,True,False
1desc_4ch_512KB,4,1,2097152,8,8,9941813,0.09941813000000001,20.117055108560177,9941744,20.117194729616855,9941671,20.117342446757693,True,False
