name,num_channels,descriptors,total_bytes,rd_delay_cyc,wr_delay_cyc,cycles,seconds,throughput_MBps,r2r_cycles,r2r_MBps,w2w_cycles,w2w_MBps,pass,timeout
1desc_1ch_512KB,1,1,524288,0,0,34849,0.00034849,1434.7613991793164,34814,1436.2038260469924,34815,1436.1625736033318,True,False
2desc_1ch_512KB,1,2,1048576,0,0,69696,0.00069696,1434.8025711662074,69661,1435.5234636310129,69662,1435.5028566506846,True,False
3desc_1ch_512KB,1,3,1572864,0,0,104543,0.00104543,1434.8162956869423,104508,1435.296819382248,104509,1435.283085667263,True,False
4desc_1ch_512KB,1,4,2097152,0,0,139390,0.0013939,1434.823158045771,139355,1435.1835240931432,139356,1435.1732254083067,True,False
5desc_1ch_512KB,1,5,2621440,0,0,174237,0.00174237,1434.8272754925763,174202,1435.115555504529,174203,1435.1073173251896,True,False
6desc_1ch_512KB,1,6,3145728,0,0,209084,0.00209084,1434.8300204702416,209049,1435.0702466885755,209050,1435.0633819660366,True,False
7desc_1ch_512KB,1,7,3670016,0,0,243931,0.00243931,1434.8319811750043,243896,1435.037885000164,243897,1435.0320012136272,True,False
8desc_1ch_512KB,1,8,4194304,0,0,278778,0.00278778,1434.833451707093,278743,1435.0136146916693,278744,1435.0084665499526,True,False
9desc_1ch_512KB,1,9,4718592,0,0,313625,0.00313625,1434.834595456357,313590,1434.994738352626,313591,1434.9901623452204,True,False
10desc_1ch_512KB,1,10,5242880,0,0,348472,0.00348472,1434.8355104570812,348437,1434.9796376389418,348438,1434.9755193176404,True,False
11desc_1ch_512KB,1,11,5767168,0,0,383319,0.00383319,1434.8362590949052,383284,1434.9672827459533,383285,1434.9635388809893,True,False
12desc_1ch_512KB,1,12,6291456,0,0,418166,0.00418166,1434.8368829603553,418131,1434.9569871643096,418132,1434.953555336592,True,False
13desc_1ch_512KB,1,13,6815744,0,0,453013,0.00453013,1434.8374108469293,452978,1434.948275633695,452979,1434.9451078306056,True,False
14desc_1ch_512KB,1,14,7340032,0,0,487860,0.0048786,1434.8378633214445,487825,1434.9408086916412,487826,1434.9378671903505,True,False
15desc_1ch_512KB,1,15,7864320,0,0,522707,0.00522707,1434.8382554662553,522672,1434.9343374047203,522673,1434.9315920279025,True,False
16desc_1ch_512KB,1,16,8388608,0,0,557554,0.00557554,1434.8385985931407,557519,1434.9286750765443,557520,1434.9261013057826,True,False
