name,num_channels,descriptors,total_bytes,rd_delay_cyc,wr_delay_cyc,cycles,seconds,throughput_MBps,r2r_cycles,r2r_MBps,w2w_cycles,w2w_MBps,pass,timeout
1desc_1ch_512KB,1,1,524288,0,0,34836,0.00034836000000000003,1435.296819382248,34814,1436.2038260469924,34814,1436.2038260469924,True,False
1desc_1ch_512KB,1,1,524288,2,2,131093,0.00131093,381.4086183091393,131054,381.52212065255543,131068,381.48136844996486,True,False
1desc_1ch_512KB,1,1,524288,4,4,196629,0.0019662900000000003,254.28599036764663,196580,254.3493743005392,196602,254.32091229997658,True,False
1desc_1ch_512KB,1,1,524288,8,8,327701,0.0032770100000000003,152.57811236462504,327632,152.61024564145137,327670,152.59254737998597,True,False
2desc_1ch_512KB,1,2,1048576,0,0,69670,0.0006967000000000001,1435.3380221042055,69648,1435.791408224213,69648,1435.791408224213,True,False
2desc_1ch_512KB,1,2,1048576,2,2,262187,0.00262187,381.4071635893465,262148,381.46390588522513,262162,381.4435349135267,True,False
2desc_1ch_512KB,1,2,1048576,4,4,393261,0.0039326100000000004,254.28405054149786,393212,254.31573807513504,393234,254.3015100423666,True,False
2desc_1ch_512KB,1,2,1048576,8,8,655409,0.00655409,152.57648277640374,655340,152.59254737998597,655378,152.58369978851897,True,False
4desc_1ch_512KB,1,4,2097152,0,0,139338,0.00139338,1435.3586243522943,139316,1435.5852881219673,139316,1435.5852881219673,True,False
4desc_1ch_512KB,1,4,2097152,2,2,524375,0.00524375,381.40643623361143,524336,381.4348051631015,524350,381.42462095928295,True,False
4desc_1ch_512KB,1,4,2097152,4,4,786525,0.00786525,254.28308063952193,786476,254.29892329835874,786498,254.29181002367454,True,False
4desc_1ch_512KB,1,4,2097152,8,8,1310825,0.01310825,152.57566799534644,1310756,152.58369978851897,1310794,152.57927637752385,True,False
8desc_1ch_512KB,1,8,4194304,0,0,278674,0.0027867400000000002,1435.3689256981274,278652,1435.4822502619754,278652,1435.4822502619754,True,False
8desc_1ch_512KB,1,8,4194304,2,2,1048751,0.01048751,381.4060725567842,1048712,381.4202564669804,1048726,381.4151646855327,True,False
8desc_1ch_512KB,1,8,4194304,4,4,1573053,0.01573053,254.28259569130856,1573004,254.29051674375907,1573026,254.28696029181972,True,False
8desc_1ch_512KB,1,8,4194304,8,8,2621657,0.02621657,152.57526060808107,2621588,152.57927637752385,2621626,152.5770647682011,True,False
16desc_1ch_512KB,1,16,8388608,0,0,557346,0.005573460000000001,1435.3740764264926,557324,1435.4307368783686,557324,1435.4307368783686,True,False
16desc_1ch_512KB,1,16,8388608,2,2,2097503,0.020975030000000002,381.40589071863064,2097464,381.4129825350995,2097478,381.4104367244853,True,False
16desc_1ch_512KB,1,16,8388608,4,4,3146109,0.031461090000000004,254.28235321789546,3146060,254.2863136748822,3146082,254.28453549526046,True,False
16desc_1ch_512KB,1,16,8388608,8,8,5243321,0.05243321,152.57505691526418,5243252,152.5770647682011,5243290,152.5759589875822,True,False
