slack_ns,levels,startpoint,endpoint
-0.196,14,u_harness/u_rd_resp_delay/r_head_reg[0]_rep__2/C,u_harness/u_stream/g_stream_core_mon.u_stream_core/u_rd_axi_skid/r_channel/g_slot[1].r_data_reg[1][53]/CE
-0.157,14,u_harness/u_rd_resp_delay/r_head_reg[0]_rep__2/C,u_harness/u_stream/g_stream_core_mon.u_stream_core/u_rd_axi_skid/r_channel/g_slot[1].r_data_reg[1][74]/CE
-0.110,14,u_harness/u_rd_resp_delay/r_head_reg[0]_rep__2/C,u_harness/u_stream/g_stream_core_mon.u_stream_core/u_rd_axi_skid/r_channel/g_slot[1].r_data_reg[1][7]/CE
-0.110,14,u_harness/u_rd_resp_delay/r_head_reg[0]_rep__2/C,u_harness/u_stream/g_stream_core_mon.u_stream_core/u_rd_axi_skid/r_channel/g_slot[1].r_data_reg[1][8]/CE
-0.091,14,u_harness/u_rd_resp_delay/r_head_reg[0]_rep__2/C,u_harness/u_stream/g_stream_core_mon.u_stream_core/u_rd_axi_skid/r_channel/g_slot[1].r_data_reg[1][22]/CE
-0.091,14,u_harness/u_rd_resp_delay/r_head_reg[0]_rep__2/C,u_harness/u_stream/g_stream_core_mon.u_stream_core/u_rd_axi_skid/r_channel/g_slot[1].r_data_reg[1][6]/CE
-0.077,14,u_harness/u_rd_resp_delay/r_head_reg[0]_rep__2/C,u_harness/u_stream/g_stream_core_mon.u_stream_core/u_rd_axi_skid/r_channel/g_slot[1].r_data_reg[1][14]/CE
-0.077,14,u_harness/u_rd_resp_delay/r_head_reg[0]_rep__2/C,u_harness/u_stream/g_stream_core_mon.u_stream_core/u_rd_axi_skid/r_channel/g_slot[1].r_data_reg[1][19]/CE
-0.074,14,u_harness/u_rd_resp_delay/r_head_reg[0]_rep__2/C,u_harness/u_stream/g_stream_core_mon.u_stream_core/u_rd_axi_skid/r_channel/g_slot[1].r_data_reg[1][21]/CE
-0.059,14,u_harness/u_rd_resp_delay/r_head_reg[0]_rep__2/C,u_harness/u_stream/g_stream_core_mon.u_stream_core/u_rd_axi_skid/r_channel/g_slot[1].r_data_reg[1][12]/CE
-0.059,14,u_harness/u_rd_resp_delay/r_head_reg[0]_rep__2/C,u_harness/u_stream/g_stream_core_mon.u_stream_core/u_rd_axi_skid/r_channel/g_slot[1].r_data_reg[1][18]/CE
-0.059,14,u_harness/u_rd_resp_delay/r_head_reg[0]_rep__2/C,u_harness/u_stream/g_stream_core_mon.u_stream_core/u_rd_axi_skid/r_channel/g_slot[1].r_data_reg[1][52]/CE
-0.051,14,u_harness/u_wr_crc_check/gen_crc[3].r_ch_beat_count_reg[4]/C,u_harness/timer_w_last_reg[37]/CE
-0.051,14,u_harness/u_wr_crc_check/gen_crc[3].r_ch_beat_count_reg[4]/C,u_harness/timer_w_last_reg[38]/CE
-0.051,14,u_harness/u_wr_crc_check/gen_crc[3].r_ch_beat_count_reg[4]/C,u_harness/timer_w_last_reg[3]/CE
-0.051,14,u_harness/u_wr_crc_check/gen_crc[3].r_ch_beat_count_reg[4]/C,u_harness/timer_w_last_reg[41]/CE
-0.051,14,u_harness/u_wr_crc_check/gen_crc[3].r_ch_beat_count_reg[4]/C,u_harness/timer_w_last_reg[43]/CE
-0.051,14,u_harness/u_wr_crc_check/gen_crc[3].r_ch_beat_count_reg[4]/C,u_harness/timer_w_last_reg[47]/CE
-0.051,14,u_harness/u_wr_crc_check/gen_crc[3].r_ch_beat_count_reg[4]/C,u_harness/timer_w_last_reg[4]/CE
-0.025,14,u_harness/u_rd_resp_delay/r_head_reg[0]_rep__2/C,u_harness/u_stream/g_stream_core_mon.u_stream_core/u_rd_axi_skid/r_channel/g_slot[1].r_data_reg[1][23]/CE
-0.025,14,u_harness/u_rd_resp_delay/r_head_reg[0]_rep__2/C,u_harness/u_stream/g_stream_core_mon.u_stream_core/u_rd_axi_skid/r_channel/g_slot[1].r_data_reg[1][25]/CE
-0.025,14,u_harness/u_rd_resp_delay/r_head_reg[0]_rep__2/C,u_harness/u_stream/g_stream_core_mon.u_stream_core/u_rd_axi_skid/r_channel/g_slot[1].r_data_reg[1][57]/CE
-0.024,14,u_harness/u_rd_resp_delay/r_head_reg[0]_rep__2/C,u_harness/u_stream/g_stream_core_mon.u_stream_core/u_rd_axi_skid/r_channel/g_slot[1].r_data_reg[1][13]/CE
-0.024,14,u_harness/u_rd_resp_delay/r_head_reg[0]_rep__2/C,u_harness/u_stream/g_stream_core_mon.u_stream_core/u_rd_axi_skid/r_channel/g_slot[1].r_data_reg[1][46]/CE
