date,time,config,channels,descriptors,desc_KB,mb_moved,bus_time_s,bus_throughput_MBps,bus_max_one_dir_MBps,bus_max_net_moved_MBps,bus_e2e_util_pct,datapath_R_pct,datapath_W_pct,datapath_E2E_pct,R_prod_pct,R_bp_pct,R_starv_pct,W_prod_pct,W_bp_pct,W_starv_pct,dma_time_s,throughput_MBps
,,1desc_1ch_1MB,1,1,1024.0,1.0,0.00069675,1435.235,1525.879,762.939,94.0596,94.0461,94.0461,94.0596,94.0461,0.0,5.9539,94.0461,0.0,5.9539,0.062501,16.0
,,1desc_2ch_1MB,2,1,1024.0,2.0,0.00139306,1435.688,1525.879,762.939,94.0893,94.0825,94.0825,94.0893,94.0825,0.0,5.9175,94.0825,0.0,5.9175,0.080163,24.949
,,1desc_3ch_1MB,3,1,1024.0,3.0,0.00208939,1435.826,1525.879,762.939,94.0983,94.0938,94.0938,94.0983,94.0938,0.0,5.9062,94.0938,0.0,5.9062,0.09607,31.227
,,1desc_4ch_1MB,4,1,1024.0,4.0,0.0027857,1435.905,1525.879,762.939,94.1035,94.1001,94.1001,94.1035,94.1001,0.0,5.8999,94.1001,0.0,5.8999,0.112228,35.642
,,1desc_5ch_1MB,5,1,1024.0,5.0,0.00348202,1435.948,1525.879,762.939,94.1063,94.1036,94.1036,94.1063,94.1036,0.0,5.8964,94.1036,0.0,5.8964,0.128009,39.06
,,1desc_6ch_1MB,6,1,1024.0,6.0,0.00417834,1435.977,1525.879,762.939,94.1082,94.1059,94.1059,94.1082,94.1059,0.0,5.8941,94.1059,0.0,5.8941,0.143965,41.677
,,1desc_7ch_1MB,7,1,1024.0,7.0,0.00487466,1435.998,1525.879,762.939,94.1095,94.1076,94.1076,94.1095,94.1076,0.0,5.8924,94.1076,0.0,5.8924,0.160017,43.745
,,1desc_8ch_1MB,8,1,1024.0,8.0,0.00557098,1436.013,1525.879,762.939,94.1106,94.1089,94.1089,94.1106,94.1089,0.0,5.8911,94.1089,0.0,5.8911,0.176068,45.437
,,2desc_1ch_1MB,1,2,1024.0,2.0,0.00139345,1435.287,1525.879,762.939,94.0629,94.0562,94.0562,94.0629,94.0562,0.0,5.9438,94.0562,0.0,5.9438,0.064076,31.213
,,2desc_2ch_1MB,2,2,1024.0,4.0,0.00278591,1435.797,1525.879,762.939,94.0964,94.093,94.093,94.0964,94.093,0.0,5.907,94.093,0.0,5.907,0.080103,49.936
