date,time,config,channels,descriptors,desc_KB,mb_moved,dma_time_s,throughput_MBps,datapath_R_pct,datapath_W_pct,datapath_E2E_pct,R_prod_pct,R_bp_pct,R_starv_pct,W_prod_pct,W_bp_pct,W_starv_pct,E2E_util_pct,overhead_delta_pp,resp_delay_cycles
2026-06-05,17:28:25,1desc_1ch_1MB,1,1,1024,1,0.064,15.6,94.1,94.1,94.1,94.1,0.0,5.9,94.1,0.0,5.9,0.975,93.125,0
2026-06-05,17:28:26,1desc_1ch_1MB,1,1,1024,1,0.065,15.5,94.1,94.1,94.1,94.1,0.0,5.9,94.1,0.0,5.9,0.969,93.131,1
2026-06-05,17:28:28,1desc_1ch_1MB,1,1,1024,1,0.064,15.6,94.1,94.1,94.1,94.1,0.0,5.9,94.1,0.0,5.9,0.975,93.125,2
2026-06-05,17:28:29,1desc_1ch_1MB,1,1,1024,1,0.064,15.6,94.1,94.1,94.1,94.1,0.0,5.9,94.1,0.0,5.9,0.975,93.125,4
2026-06-05,17:28:30,1desc_1ch_1MB,1,1,1024,1,0.064,15.6,94.1,94.1,94.1,94.1,0.0,5.9,94.1,0.0,5.9,0.975,93.125,8
2026-06-05,17:28:31,1desc_1ch_1MB,1,1,1024,1,0.064,15.6,94.0,94.0,94.0,94.0,0.0,6.0,94.0,0.0,6.0,0.975,93.025,16
2026-06-05,17:28:32,1desc_1ch_1MB,1,1,1024,1,0.064,15.6,94.0,94.0,94.0,94.0,0.0,6.0,94.0,0.0,6.0,0.975,93.025,32
2026-06-05,17:28:34,1desc_1ch_1MB,1,1,1024,1,0.064,15.6,94.0,94.0,94.0,94.0,0.0,6.0,94.0,0.0,6.0,0.975,93.025,64
2026-06-05,17:28:35,16desc_1ch_1MB,1,16,1024,16,0.064,249.7,94.1,94.1,94.1,94.1,0.0,5.9,94.1,0.0,5.9,15.606,78.494,0
2026-06-05,17:28:38,16desc_1ch_1MB,1,16,1024,16,0.064,249.5,94.1,94.1,94.1,94.1,0.0,5.9,94.1,0.0,5.9,15.594,78.506,1
2026-06-05,17:28:41,16desc_1ch_1MB,1,16,1024,16,0.064,249.7,94.1,94.1,94.1,94.1,0.0,5.9,94.1,0.0,5.9,15.606,78.494,2
2026-06-05,17:28:44,16desc_1ch_1MB,1,16,1024,16,0.064,249.8,94.1,94.1,94.1,94.1,0.0,5.9,94.1,0.0,5.9,15.613,78.487,4
2026-06-05,17:28:47,16desc_1ch_1MB,1,16,1024,16,0.064,249.6,94.0,94.0,94.0,94.0,0.0,6.0,94.0,0.0,6.0,15.6,78.4,8
2026-06-05,17:28:50,16desc_1ch_1MB,1,16,1024,16,0.064,249.5,94.0,94.0,94.0,94.0,0.0,6.0,94.0,0.0,6.0,15.594,78.406,16
2026-06-05,17:28:53,16desc_1ch_1MB,1,16,1024,16,0.064,249.7,94.0,94.0,94.0,94.0,0.0,6.0,94.0,0.0,6.0,15.606,78.394,32
2026-06-05,17:28:56,16desc_1ch_1MB,1,16,1024,16,0.064,249.8,93.9,93.9,93.9,93.9,0.0,6.1,93.9,0.0,6.1,15.613,78.288,64
2026-06-05,17:29:00,16desc_4ch_1MB,4,16,1024,64,0.192,333.3,94.1,94.1,94.1,94.1,0.0,5.9,94.1,0.0,5.9,20.831,73.269,0
2026-06-05,17:29:09,16desc_4ch_1MB,4,16,1024,64,0.192,333.2,94.1,94.1,94.1,94.1,0.0,5.9,94.1,0.0,5.9,20.825,73.275,1
2026-06-05,17:29:19,16desc_4ch_1MB,4,16,1024,64,0.192,333.2,94.1,94.1,94.1,94.1,0.0,5.9,94.1,0.0,5.9,20.825,73.275,2
2026-06-05,17:29:29,16desc_4ch_1MB,4,16,1024,64,0.192,333.0,94.1,94.1,94.1,94.1,0.0,5.9,94.1,0.0,5.9,20.812,73.287,4
2026-06-05,17:29:38,16desc_4ch_1MB,4,16,1024,64,0.192,333.2,94.1,94.1,94.1,94.1,0.0,5.9,94.1,0.0,5.9,20.825,73.275,8
2026-06-05,17:29:48,16desc_4ch_1MB,4,16,1024,64,0.192,333.1,94.1,94.1,94.1,94.1,0.0,5.9,94.1,0.0,5.9,20.819,73.281,16
2026-06-05,17:29:58,16desc_4ch_1MB,4,16,1024,64,0.192,333.2,94.1,94.1,94.1,94.1,0.0,5.9,94.1,0.0,5.9,20.825,73.275,32
2026-06-05,17:30:07,16desc_4ch_1MB,4,16,1024,64,0.192,333.2,94.1,94.1,94.1,94.1,0.0,5.9,94.1,0.0,5.9,20.825,73.275,64
2026-06-05,17:30:17,16desc_8ch_1MB,8,16,1024,128,0.256,500.0,94.1,94.1,94.1,94.1,0.0,5.9,94.1,0.0,5.9,31.25,62.85,0
2026-06-05,17:30:35,16desc_8ch_1MB,8,16,1024,128,0.256,499.9,94.1,94.1,94.1,94.1,0.0,5.9,94.1,0.0,5.9,31.244,62.856,1
2026-06-05,17:30:54,16desc_8ch_1MB,8,16,1024,128,0.256,500.0,94.1,94.1,94.1,94.1,0.0,5.9,94.1,0.0,5.9,31.25,62.85,2
2026-06-05,17:31:12,16desc_8ch_1MB,8,16,1024,128,0.256,499.9,94.1,94.1,94.1,94.1,0.0,5.9,94.1,0.0,5.9,31.244,62.856,4
2026-06-05,17:31:30,16desc_8ch_1MB,8,16,1024,128,0.256,499.7,94.1,94.1,94.1,94.1,0.0,5.9,94.1,0.0,5.9,31.231,62.869,8
2026-06-05,17:31:48,16desc_8ch_1MB,8,16,1024,128,0.256,500.1,94.1,94.1,94.1,94.1,0.0,5.9,94.1,0.0,5.9,31.256,62.844,16
2026-06-05,17:32:07,16desc_8ch_1MB,8,16,1024,128,0.256,499.9,94.1,94.1,94.1,94.1,0.0,5.9,94.1,0.0,5.9,31.244,62.856,32
2026-06-05,17:32:25,16desc_8ch_1MB,8,16,1024,128,0.256,499.9,94.1,94.1,94.1,94.1,0.0,5.9,94.1,0.0,5.9,31.244,62.856,64
