bridge,part,clk_ns,luts,ffs,bram_tiles,dsps,wns_ns,wns_reg2reg_ns,fmax_reg2reg_mhz,worst_logic_levels,unrouted_nets,seconds
bridge_2x2_rw,xc7a100tcsg324-1,10.000,4615,3253,0,0,0.116,0.116,101.2,9,0,474
bridge_2x2_rw,xc7k325tffg900-2,6.667,4612,3253,0,0,0.973,0.973,175.6,9,0,407
bridge_2x2_rw_pipe,xc7a100tcsg324-1,10.000,5646,4227,0,0,1.272,1.272,114.6,6,0,223
bridge_2x2_rw_pipe,xc7k325tffg900-2,6.667,5647,4227,0,0,1.731,1.731,202.6,6,0,88
bridge_2x2_rw_qos,xc7a100tcsg324-1,10.000,5136,3317,0,0,-2.914,-2.914,77.4,14,0,104
bridge_2x2_rw_qos,xc7k325tffg900-2,6.667,4963,3317,0,0,-0.182,-0.182,146.0,13,0,101
bridge_2x2_rw_cdc,xc7a100tcsg324-1,10.000,4851,3413,0,0,0.265,0.265,102.7,9,0,82
bridge_2x2_rw_cdc,xc7k325tffg900-2,6.667,4842,3413,0,0,0.547,0.547,163.4,9,0,108
bridge_4x4_rw,xc7a100tcsg324-1,10.000,30278,29508,0,0,-1.572,-1.572,86.4,14,0,621
bridge_4x4_rw,xc7k325tffg900-2,6.667,29719,29508,0,0,0.277,0.277,156.5,13,0,240
bridge_mix_a,xc7a100tcsg324-1,10.000,6456,5697,0,0,-1.953,-0.294,97.1,16,0,190
bridge_mix_a,xc7k325tffg900-2,6.667,6375,5697,0,0,-0.243,0.530,162.9,8,0,197
bridge_2x2_axi5,xc7a100tcsg324-1,10.000,4441,3325,0,0,0.401,0.401,104.2,8,0,86
bridge_2x2_axi5,xc7k325tffg900-2,6.667,4430,3325,0,0,0.692,0.692,167.4,9,0,81
bridge_5x3_channels,xc7a100tcsg324-1,10.000,19243,16932,0,0,-2.659,-2.659,79.0,16,0,206
bridge_5x3_channels,xc7k325tffg900-2,6.667,19035,16932,0,0,-0.132,-0.132,147.1,17,0,506
bridge_2x2_rw_qos_pipe,xc7a100tcsg324-1,10.000,5494,4291,0,0,0.167,0.167,101.7,9,0,163
bridge_2x2_rw_qos_pipe,xc7k325tffg900-2,6.667,5475,4291,0,0,0.700,0.700,167.6,9,0,93
