config,scenario,family,burst_len,txn_count,gap,id_mode,ok,mismatched,bytes_moved,clk_mhz,wr_cycles,wr_util,wr_bw_mb_s,rd_cycles,rd_util,rd_bw_mb_s,rd_avg_latency_cyc,rd_hist_total,notes
open_page,incremental_bl4,incremental,4,64000,0,0,1,0,2048000,75.0,278638,0.0426,551.25,528269,0.0426,290.76,49.36,64000,
open_page,incremental_bl8,incremental,8,64000,0,0,1,0,4096000,75.0,557182,0.0852,551.35,1053158,0.0852,291.69,49.22,64000,
open_page,incremental_bl16,incremental,16,64000,0,0,1,0,8192000,75.0,1114403,0.1705,551.33,2106268,0.1421,291.70,49.26,64000,
open_page,row_major_bl4,row_major,4,64000,0,0,1,0,2048000,75.0,269372,0.0426,570.22,528282,0.0426,290.75,49.35,64000,
open_page,row_major_bl8,row_major,8,64000,0,0,1,0,4096000,75.0,538683,0.0852,570.28,1052796,0.0853,291.79,49.18,64000,
open_page,row_major_bl16,row_major,16,64000,0,0,1,0,8192000,75.0,1077334,0.1704,570.30,2105541,0.1421,291.80,49.18,64000,
open_page,col_major_bl4,col_major,4,64000,0,0,1,0,2048000,75.0,1562679,0.0355,98.29,1500200,0.0355,102.39,96.00,64000,
open_page,col_major_bl8,col_major,8,64000,0,0,1,0,4096000,75.0,1875207,0.0711,163.82,1785943,0.0710,172.01,96.00,64000,
open_page,col_major_bl16,col_major,16,64000,0,0,1,0,8192000,75.0,2344034,0.1420,262.11,2586531,0.1422,237.54,51.31,64000,
open_page,col_major_interleaved_bl4,col_major_interleaved,4,64000,0,0,1,0,2048000,75.0,781320,0.0426,196.59,721262,0.0426,212.96,51.69,64000,
open_page,col_major_interleaved_bl8,col_major_interleaved,8,64000,0,0,1,0,4096000,75.0,1470733,0.0710,208.88,1363822,0.0711,225.25,82.91,64000,
open_page,col_major_interleaved_bl16,col_major_interleaved,16,64000,0,0,1,0,8192000,75.0,1973864,0.1421,311.27,2250272,0.1420,273.03,50.40,64000,
open_page,col_major_bl8_multiid,col_major,8,64000,0,2,1,0,4096000,75.0,1875216,0.0710,163.82,1785946,0.0710,172.01,96.00,64000,
open_page,col_major_bl8_gap,col_major,8,64000,8,0,1,0,4096000,75.0,1875196,0.0711,163.82,1785951,0.0711,172.01,96.00,64000,
