config,scenario,family,burst_len,txn_count,gap,id_mode,ok,mismatched,bytes_moved,clk_mhz,wr_cycles,wr_util,wr_bw_mb_s,rd_cycles,rd_util,rd_bw_mb_s,rd_avg_latency_cyc,rd_hist_total,notes
open_page,incremental_bl8,incremental,8,8000,0,0,1,0,512000,75.0,69678,0.0107,551.11,131680,0.0107,291.62,49.19,8000,
open_page,row_major_bl8,row_major,8,8000,0,0,1,0,512000,75.0,67367,0.0106,570.01,131637,0.0107,291.71,49.18,8000,
open_page,col_major_bl8,col_major,8,8000,0,0,1,0,512000,75.0,234375,0.0107,163.84,223271,0.0107,171.99,95.99,8000,
open_page,col_major_interleaved_bl8,col_major_interleaved,8,8000,0,0,1,0,512000,75.0,183826,0.0106,208.89,170517,0.0107,225.20,82.89,8000,
inorder,incremental_bl8,incremental,8,8000,0,0,1,0,512000,75.0,1127608,0.0107,34.05,1050042,0.0107,36.57,191.98,8000,
inorder,row_major_bl8,row_major,8,8000,0,0,1,0,512000,75.0,1136472,0.0107,33.79,1071574,0.0107,35.84,191.98,8000,
inorder,col_major_bl8,col_major,8,8000,0,0,1,0,512000,75.0,1136472,0.0107,33.79,1071596,0.0107,35.83,191.98,8000,
inorder,col_major_interleaved_bl8,col_major_interleaved,8,8000,0,0,1,0,512000,75.0,1071572,0.0107,35.84,1013669,0.0106,37.88,191.98,8000,
age_thr,incremental_bl8,incremental,8,8000,0,0,1,0,512000,75.0,69678,0.0107,551.11,131689,0.0107,291.60,49.21,8000,
age_thr,row_major_bl8,row_major,8,8000,0,0,1,0,512000,75.0,67367,0.0107,570.01,131637,0.0107,291.71,49.18,8000,
age_thr,col_major_bl8,col_major,8,8000,0,0,1,0,512000,75.0,234404,0.0107,163.82,223290,0.0107,171.97,95.99,8000,
age_thr,col_major_interleaved_bl8,col_major_interleaved,8,8000,0,0,1,0,512000,75.0,183840,0.0107,208.88,170480,0.0107,225.25,82.85,8000,
adapt_time,incremental_bl8,incremental,8,8000,0,0,1,0,512000,75.0,69681,0.0107,551.08,131699,0.0106,291.57,49.22,8000,
adapt_time,row_major_bl8,row_major,8,8000,0,0,1,0,512000,75.0,67367,0.0107,570.01,131637,0.0107,291.71,49.18,8000,
adapt_time,col_major_bl8,col_major,8,8000,0,0,1,0,512000,75.0,234413,0.0107,163.81,223267,0.0106,171.99,95.99,8000,
adapt_time,col_major_interleaved_bl8,col_major_interleaved,8,8000,0,0,1,0,512000,75.0,183827,0.0107,208.89,170486,0.0107,225.24,82.85,8000,
adapt_access,incremental_bl8,incremental,8,8000,0,0,1,0,512000,75.0,69681,0.0107,551.08,131694,0.0107,291.59,49.22,8000,
adapt_access,row_major_bl8,row_major,8,8000,0,0,1,0,512000,75.0,67367,0.0107,570.01,131653,0.0107,291.68,49.18,8000,
adapt_access,col_major_bl8,col_major,8,8000,0,0,1,0,512000,75.0,234414,0.0107,163.81,223290,0.0107,171.97,95.99,8000,
adapt_access,col_major_interleaved_bl8,col_major_interleaved,8,8000,0,0,1,0,512000,75.0,183833,0.0107,208.89,170483,0.0107,225.24,82.86,8000,
rbl_static,incremental_bl8,incremental,8,8000,0,0,1,0,512000,75.0,951504,0.0107,40.36,1025208,0.0107,37.46,190.28,8000,
rbl_static,row_major_bl8,row_major,8,8000,0,0,1,0,512000,75.0,1136491,0.0107,33.79,1041817,0.0107,36.86,191.98,8000,
rbl_static,col_major_bl8,col_major,8,8000,0,0,1,0,512000,75.0,238020,0.0107,161.33,223291,0.0107,171.97,95.99,8000,
rbl_static,col_major_interleaved_bl8,col_major_interleaved,8,8000,0,0,1,0,512000,75.0,390713,0.0107,98.28,342126,0.0107,112.24,141.01,8000,
rbl_dyn,incremental_bl8,incremental,8,8000,0,0,1,0,512000,75.0,70073,0.0107,548.00,131767,0.0107,291.42,49.22,8000,
rbl_dyn,row_major_bl8,row_major,8,8000,0,0,1,0,512000,75.0,67367,0.0107,570.01,131637,0.0107,291.71,49.18,8000,
rbl_dyn,col_major_bl8,col_major,8,8000,0,0,1,0,512000,75.0,234418,0.0107,163.81,224053,0.0107,171.39,96.08,8000,
rbl_dyn,col_major_interleaved_bl8,col_major_interleaved,8,8000,0,0,1,0,512000,75.0,184570,0.0107,208.05,171752,0.0107,223.58,83.17,8000,
refresh_credit,incremental_bl8,incremental,8,8000,0,0,1,0,512000,75.0,1101088,0.0107,34.87,1025254,0.0107,37.45,190.61,8000,
refresh_credit,row_major_bl8,row_major,8,8000,0,0,1,0,512000,75.0,1136116,0.0107,33.80,1071154,0.0107,35.85,191.98,8000,
refresh_credit,col_major_bl8,col_major,8,8000,0,0,1,0,512000,75.0,1136076,0.0107,33.80,1041670,0.0107,36.86,191.98,8000,
refresh_credit,col_major_interleaved_bl8,col_major_interleaved,8,8000,0,0,1,0,512000,75.0,468781,0.0107,81.91,401119,0.0107,95.73,149.53,8000,
baseline,incremental_bl8,incremental,8,8000,0,0,1,0,512000,75.0,1101443,0.0107,34.86,1025101,0.0107,37.46,190.29,8000,
baseline,row_major_bl8,row_major,8,8000,0,0,1,0,512000,75.0,1136449,0.0107,33.79,1071574,0.0107,35.84,191.98,8000,
baseline,col_major_bl8,col_major,8,8000,0,0,1,0,512000,75.0,1136452,0.0107,33.79,1071574,0.0107,35.84,191.98,8000,
baseline,col_major_interleaved_bl8,col_major_interleaved,8,8000,0,0,1,0,512000,75.0,468870,0.0107,81.90,401953,0.0107,95.53,150.85,8000,
