config,scenario,family,burst_len,txn_count,gap,id_mode,ok,mismatched,bytes_moved,clk_mhz,wr_cycles,wr_util,wr_bw_mb_s,rd_cycles,rd_util,rd_bw_mb_s,rd_avg_latency_cyc,rd_hist_total,notes
open_page,incremental_bl4,incremental,4,64000,0,0,1,0,2048000,75.0,278597,0.0426,551.33,429808,0.0426,357.37,48.35,64000,
open_page,incremental_bl8,incremental,8,64000,0,0,1,0,4096000,75.0,557213,0.0851,551.32,551611,0.0849,556.91,49.41,64000,
open_page,incremental_bl16,incremental,16,64000,0,0,1,0,8192000,75.0,1114401,0.1698,551.33,1103119,0.1705,556.97,49.41,64000,
open_page,row_major_bl4,row_major,4,64000,0,0,1,0,2048000,75.0,269343,0.0426,570.28,426221,0.0425,360.38,48.00,64000,
open_page,row_major_bl8,row_major,8,64000,0,0,1,0,4096000,75.0,538712,0.0852,570.25,537765,0.0851,571.25,48.86,64000,
open_page,row_major_bl16,row_major,16,64000,0,0,1,0,8192000,75.0,1077363,0.1715,570.28,1075441,0.1710,571.30,48.86,64000,
open_page,col_major_bl4,col_major,4,64000,0,0,1,0,2048000,75.0,1562679,0.0354,98.29,1500235,0.0354,102.38,96.00,64000,
open_page,col_major_bl8,col_major,8,64000,0,0,1,0,4096000,75.0,1875215,0.0712,163.82,1785938,0.0710,172.01,96.00,64000,
open_page,col_major_bl16,col_major,16,64000,0,0,1,0,8192000,75.0,2344024,0.1423,262.11,2344038,0.1423,262.11,96.00,64000,
open_page,col_major_interleaved_bl4,col_major_interleaved,4,64000,0,0,1,0,2048000,75.0,781325,0.0428,196.59,718285,0.0424,213.84,70.64,64000,
open_page,col_major_interleaved_bl8,col_major_interleaved,8,64000,0,0,1,0,4096000,75.0,1470741,0.0712,208.87,1339425,0.0712,229.35,85.71,64000,
open_page,col_major_interleaved_bl16,col_major_interleaved,16,64000,0,0,1,0,8192000,75.0,1973909,0.1416,311.26,1852060,0.1421,331.74,49.78,64000,
open_page,col_major_bl8_multiid,col_major,8,64000,0,2,1,0,4096000,75.0,1875218,0.0711,163.82,1785943,0.0708,172.01,96.00,64000,
open_page,col_major_bl8_gap,col_major,8,64000,8,0,1,0,4096000,75.0,1875206,0.0710,163.82,1785949,0.0715,172.01,96.00,64000,
