config,scenario,family,burst_len,txn_count,gap,id_mode,ok,mismatched,bytes_moved,clk_mhz,wr_cycles,wr_util,wr_bw_mb_s,rd_cycles,rd_util,rd_bw_mb_s,rd_avg_latency_cyc,rd_hist_total,notes
open_page,incremental_bl4,incremental,4,64000,0,0,1,0,2048000,75.0,278606,0.0425,551.32,429774,0.0427,357.40,48.40,64000,
open_page,incremental_bl8,incremental,8,64000,0,0,1,0,4096000,75.0,557210,0.0852,551.32,662473,0.0848,463.72,49.30,64000,
open_page,incremental_bl16,incremental,16,64000,0,0,1,0,8192000,75.0,1114397,0.1705,551.33,1324923,0.1421,463.73,49.43,64000,
open_page,row_major_bl4,row_major,4,64000,0,0,1,0,2048000,75.0,269372,0.0425,570.22,426223,0.0424,360.37,48.00,64000,
open_page,row_major_bl8,row_major,8,64000,0,0,1,0,4096000,75.0,538683,0.0854,570.28,652299,0.0854,470.95,49.25,64000,
open_page,row_major_bl16,row_major,16,64000,0,0,1,0,8192000,75.0,1077334,0.1704,570.30,1304544,0.1421,470.97,49.25,64000,
open_page,col_major_bl4,col_major,4,64000,0,0,1,0,2048000,75.0,1562675,0.0355,98.29,1500235,0.0357,102.38,96.00,64000,
open_page,col_major_bl8,col_major,8,64000,0,0,1,0,4096000,75.0,1875217,0.0711,163.82,1785965,0.0711,172.01,96.00,64000,
open_page,col_major_bl16,col_major,16,64000,0,0,1,0,8192000,75.0,2344057,0.1423,262.11,2344037,0.1420,262.11,96.00,64000,
open_page,col_major_interleaved_bl4,col_major_interleaved,4,64000,0,0,1,0,2048000,75.0,781310,0.0428,196.59,718315,0.0429,213.83,70.64,64000,
open_page,col_major_interleaved_bl8,col_major_interleaved,8,64000,0,0,1,0,4096000,75.0,1470750,0.0709,208.87,1339436,0.0712,229.35,85.71,64000,
open_page,col_major_interleaved_bl16,col_major_interleaved,16,64000,0,0,1,0,8192000,75.0,1973859,0.1416,311.27,1852068,0.1426,331.74,49.78,64000,
open_page,col_major_bl8_multiid,col_major,8,64000,0,2,1,0,4096000,75.0,1875201,0.0711,163.82,1785953,0.0712,172.01,96.00,64000,
open_page,col_major_bl8_gap,col_major,8,64000,8,0,1,0,4096000,75.0,1875214,0.0709,163.82,1785955,0.0710,172.01,96.00,64000,
