config,scenario,family,burst_len,txn_count,gap,id_mode,ok,mismatched,bytes_moved,clk_mhz,wr_cycles,wr_util,wr_bw_mb_s,rd_cycles,rd_util,rd_bw_mb_s,rd_avg_latency_cyc,rd_hist_total,notes
litedram,incremental_bl4,incremental,4,64000,0,0,1,0,2048000,75.0,277192,0.0426,554.13,272312,0.0424,564.06,24.72,64000,
litedram,incremental_bl8,incremental,8,64000,0,0,1,0,4096000,75.0,554354,0.0851,554.16,544604,0.0852,564.08,24.74,64000,
litedram,incremental_bl16,incremental,16,64000,0,0,1,0,8192000,75.0,1108676,0.1706,554.17,1089162,0.1705,564.10,24.76,64000,
litedram,row_major_bl4,row_major,4,64000,0,0,1,0,2048000,75.0,269833,0.0427,569.24,265090,0.0427,579.43,24.76,64000,
litedram,row_major_bl8,row_major,8,64000,0,0,1,0,4096000,75.0,539661,0.0853,569.25,530130,0.0854,579.48,24.76,64000,
litedram,row_major_bl16,row_major,16,64000,0,0,1,0,8192000,75.0,1079291,0.1436,569.26,1060210,0.1705,579.51,24.68,64000,
litedram,col_major_bl4,col_major,4,64000,0,0,1,0,2048000,75.0,740258,0.0423,207.50,530126,0.0426,289.74,48.00,64000,
litedram,col_major_bl8,col_major,8,64000,0,0,1,0,4096000,75.0,1010626,0.0853,303.97,795166,0.0853,386.33,25.19,64000,
litedram,col_major_bl16,col_major,16,64000,0,0,1,0,8192000,75.0,1549788,0.1422,396.44,1325266,0.1418,463.61,25.02,64000,
litedram,col_major_interleaved_bl4,col_major_interleaved,4,64000,0,0,1,0,2048000,75.0,852366,0.0426,180.20,833440,0.0426,184.30,25.07,64000,
litedram,col_major_interleaved_bl8,col_major_interleaved,8,64000,0,0,1,0,4096000,75.0,1109595,0.0853,276.86,1096617,0.0894,280.13,24.98,64000,
litedram,col_major_interleaved_bl16,col_major_interleaved,16,64000,0,0,1,0,8192000,75.0,1630620,0.1421,376.79,1616571,0.1421,380.06,25.45,64000,
litedram,col_major_bl8_multiid,col_major,8,64000,0,2,1,0,4096000,75.0,1010630,0.0844,303.97,795166,0.0844,386.33,25.27,64000,
litedram,col_major_bl8_gap,col_major,8,64000,8,0,1,0,4096000,75.0,1024036,0.0852,299.99,1024026,0.0843,299.99,48.00,64000,
