L0,L1,L2,L3,L4,L5,flops,combo,nand_eq
TOTAL (flattened; optimized),,,,,,22622,56312,337810
TOTAL (hierarchy kept; = sum of rows below),,,,,,46896,195306,918502
pumice_top,,,,,,46896,195306,918502
,u_core (pumice_core),,,,,22776,93251,444063
,,u_ifc (pumice_axi4_ifc),,,,16604,75938,344804
,,,u_wr_cam (pumice_wr_data_cam),,,5326,36578,143241
,,,,u_drain_q (gaxi_fifo_sync),,36,113,573
,,,,,fifo_control_inst (fifo_control),4,57,168
,,,,,read_pointer_inst (counter_bin),4,7,46
,,,,,write_pointer_inst (counter_bin),4,7,46
,,,,u_snarf_q (gaxi_fifo_sync),,36,113,573
,,,,,fifo_control_inst (fifo_control),4,57,168
,,,,,read_pointer_inst (counter_bin),4,7,46
,,,,,write_pointer_inst (counter_bin),4,7,46
,,,,u_fill_q (gaxi_fifo_sync),,36,113,573
,,,,,fifo_control_inst (fifo_control),4,57,168
,,,,,read_pointer_inst (counter_bin),4,7,46
,,,,,write_pointer_inst (counter_bin),4,7,46
,,,u_rd_cam (pumice_rd_cmd_cam),,,4696,27552,113314
,,,,u_issue_q (gaxi_fifo_sync),,36,113,573
,,,,,fifo_control_inst (fifo_control),4,57,168
,,,,,read_pointer_inst (counter_bin),4,7,46
,,,,,write_pointer_inst (counter_bin),4,7,46
,,,u_wr_intake (pumice_wr_intake),,,3354,5817,44481
,,,,u_wr_data_fifo (gaxi_fifo_sync),,2334,3426,29601
,,,,,fifo_control_inst (fifo_control),4,72,211
,,,,,read_pointer_inst (counter_bin),5,9,58
,,,,,write_pointer_inst (counter_bin),5,9,58
,,,,u_slave_wr (axi4_slave_wr),,764,1721,10895
,,,,,i_w_channel (gaxi_skid_buffer),590,1252,8118
,,,,,i_aw_channel (gaxi_skid_buffer),146,346,2224
,,,,,i_b_channel (gaxi_skid_buffer),28,109,511
,,,,u_aw_meta_fifo (gaxi_fifo_sync),,182,189,2100
,,,,,fifo_control_inst (fifo_control),4,38,120
,,,,,read_pointer_inst (counter_bin),3,5,34
,,,,,write_pointer_inst (counter_bin),3,5,34
,,,,u_addr_mapper (addr_mapper),,0,226,633
,,,,u_aw_side_fifo (gaxi_fifo_sync),,24,139,528
,,,,,fifo_control_inst (fifo_control),4,91,261
,,,,,read_pointer_inst (counter_bin),4,10,50
,,,,,write_pointer_inst (counter_bin),4,10,50
,,,,u_b_fifo (gaxi_fifo_sync),,50,90,648
,,,,,fifo_control_inst (fifo_control),4,38,120
,,,,,read_pointer_inst (counter_bin),3,5,34
,,,,,write_pointer_inst (counter_bin),3,5,34
,,,u_rd_intake (pumice_rd_intake),,,3075,5557,41518
,,,,u_rd_data_fifo (gaxi_fifo_sync),,2238,3308,28426
,,,,,fifo_control_inst (fifo_control),4,72,211
,,,,,read_pointer_inst (counter_bin),5,9,58
,,,,,write_pointer_inst (counter_bin),5,9,58
,,,,u_slave_rd (axi4_slave_rd),,712,1558,10043
,,,,,i_r_channel (gaxi_skid_buffer),566,1203,7792
,,,,,i_ar_channel (gaxi_skid_buffer),146,346,2224
,,,,u_order_fifo (gaxi_fifo_sync),,100,169,1309
,,,,,fifo_control_inst (fifo_control),4,57,168
,,,,,read_pointer_inst (counter_bin),4,7,46
,,,,,write_pointer_inst (counter_bin),4,7,46
,,,,u_addr_mapper (addr_mapper),,0,226,633
,,,,u_ar_side_fifo (gaxi_fifo_sync),,24,139,528
,,,,,fifo_control_inst (fifo_control),4,91,261
,,,,,read_pointer_inst (counter_bin),4,10,50
,,,,,write_pointer_inst (counter_bin),4,10,50
,,,u_wr_split (pumice_wr_splitter),,,81,235,1193
,,,,u_aw_chop (pumice_axi_burst_chopper),,72,198,1053
,,,u_rd_split (pumice_axi_burst_chopper),,,72,196,1048
,,u_dfi (pumice_dfi_layer),,,,4987,7808,64033
,,,u_cdc (pumice_dfi_cdc),,,4862,7081,61366
,,,,u_wd_fifo (gaxi_fifo_async),,2362,3448,29885
,,,,,fifo_control_inst (fifo_control),4,72,211
,,,,,rd_ptr_counter_bingray (counter_bingray),9,15,120
,,,,,wr_ptr_counter_bingray (counter_bingray),9,15,120
,,,,,wr_ptr_gray_cross_inst (glitch_free_n_dff_arn),10,0,60
,,,,,rd_ptr_gray_cross_inst (glitch_free_n_dff_arn),10,0,60
,,,,,wr_ptr_gray2bin_inst (gray2bin),0,5,20
,,,,,rd_ptr_gray2bin_inst (gray2bin),0,5,20
,,,,u_rd_fifo (gaxi_fifo_async),,2138,3144,27090
,,,,,fifo_control_inst (fifo_control),4,72,211
,,,,,rd_ptr_counter_bingray (counter_bingray),9,15,120
,,,,,wr_ptr_counter_bingray (counter_bingray),9,15,120
,,,,,wr_ptr_gray_cross_inst (glitch_free_n_dff_arn),10,0,60
,,,,,rd_ptr_gray_cross_inst (glitch_free_n_dff_arn),10,0,60
,,,,,wr_ptr_gray2bin_inst (gray2bin),0,5,20
,,,,,rd_ptr_gray2bin_inst (gray2bin),0,5,20
,,,,u_cmd_fifo (gaxi_fifo_async),,298,339,3549
,,,,,fifo_control_inst (fifo_control),4,57,168
,,,,,rd_ptr_counter_bingray (counter_bingray),7,12,94
,,,,,wr_ptr_counter_bingray (counter_bingray),7,12,94
,,,,,wr_ptr_gray_cross_inst (glitch_free_n_dff_arn),8,0,48
,,,,,rd_ptr_gray_cross_inst (glitch_free_n_dff_arn),8,0,48
,,,,,wr_ptr_gray2bin_inst (gray2bin),0,3,12
,,,,,rd_ptr_gray2bin_inst (gray2bin),0,3,12
,,,,u_icmp_tok (gaxi_fifo_async),,30,73,406
,,,,,fifo_control_inst (fifo_control),4,38,120
,,,,,rd_ptr_counter_bingray (counter_bingray),5,8,67
,,,,,wr_ptr_counter_bingray (counter_bingray),5,8,67
,,,,,wr_ptr_gray_cross_inst (glitch_free_n_dff_arn),6,0,36
,,,,,rd_ptr_gray_cross_inst (glitch_free_n_dff_arn),6,0,36
,,,,,wr_ptr_gray2bin_inst (gray2bin),0,2,8
,,,,,rd_ptr_gray2bin_inst (gray2bin),0,2,8
,,,,u_istart_tok (gaxi_fifo_async),,30,73,406
,,,,,fifo_control_inst (fifo_control),4,38,120
,,,,,rd_ptr_counter_bingray (counter_bingray),5,8,67
,,,,,wr_ptr_counter_bingray (counter_bingray),5,8,67
,,,,,wr_ptr_gray_cross_inst (glitch_free_n_dff_arn),6,0,36
,,,,,rd_ptr_gray_cross_inst (glitch_free_n_dff_arn),6,0,36
,,,,,wr_ptr_gray2bin_inst (gray2bin),0,2,8
,,,,,rd_ptr_gray2bin_inst (gray2bin),0,2,8
,,,u_rd (pumice_dfi_rd_aligner),,,43,292,1077
,,,u_cmd (pumice_dfi_cmd_path),,,47,287,1034
,,,,u_fmt (dfi_cmd_formatter),,42,259,944
,,,u_wr (pumice_dfi_wr_serializer),,,35,142,545
,,u_sched (pumice_mem_cmd_scheduler),,,,1185,9429,35030
,,,u_arbiter (pumice_cmd_arbiter),,,240,6173,20077
,,,u_bank_timers (pumice_bank_timers),,,448,1706,7192
,,,,u_bt (bank_timer),,56,207,887
,,,,u_bt (bank_timer),,56,207,887
,,,,u_bt (bank_timer),,56,207,887
,,,,u_bt (bank_timer),,56,207,887
,,,,u_bt (bank_timer),,56,207,887
,,,,u_bt (bank_timer),,56,207,887
,,,,u_bt (bank_timer),,56,207,887
,,,,u_bt (bank_timer),,56,207,887
,,,u_cmd_fifo (gaxi_fifo_sync),,,276,323,3333
,,,,fifo_control_inst (fifo_control),,4,57,168
,,,,read_pointer_inst (counter_bin),,4,7,46
,,,,write_pointer_inst (counter_bin),,4,7,46
,,,u_global_timers (global_timers),,,69,449,1561
,,,u_init (init_sequencer),,,30,476,1346
,,,u_refresh (refresh_ctrl),,,89,194,1057
,,,u_mode_reg (mode_register),,,33,97,433
,u_csr (pumice_csr),,,,,672,4400,15185
