L0,L1,L2,L3,L4,L5,flops,combo,nand_eq
TOTAL (flattened; optimized),,,,,,12892,29687,196928
TOTAL (hierarchy kept; = sum of rows below),,,,,,26952,104994,524784
pumice_top,,,,,,26952,104994,524784
,u_core (pumice_core),,,,,12804,48095,243172
,,u_ifc (pumice_axi4_ifc),,,,9152,38377,181535
,,,u_wr_cam (pumice_wr_data_cam),,,2676,17683,68992
,,,,u_drain_q (gaxi_fifo_sync),,18,66,320
,,,,,fifo_control_inst (fifo_control),4,38,120
,,,,,read_pointer_inst (counter_bin),3,5,46
,,,,,write_pointer_inst (counter_bin),3,5,46
,,,,u_snarf_q (gaxi_fifo_sync),,18,66,320
,,,,,fifo_control_inst (fifo_control),4,38,120
,,,,,read_pointer_inst (counter_bin),3,5,46
,,,,,write_pointer_inst (counter_bin),3,5,46
,,,,u_fill_q (gaxi_fifo_sync),,18,66,320
,,,,,fifo_control_inst (fifo_control),4,38,120
,,,,,read_pointer_inst (counter_bin),3,5,46
,,,,,write_pointer_inst (counter_bin),3,5,46
,,,u_rd_cam (pumice_rd_cmd_cam),,,2338,13836,55134
,,,,u_issue_q (gaxi_fifo_sync),,18,66,320
,,,,,fifo_control_inst (fifo_control),4,38,120
,,,,,read_pointer_inst (counter_bin),3,5,46
,,,,,write_pointer_inst (counter_bin),3,5,46
,,,u_wr_intake (pumice_wr_intake),,,2076,3257,27921
,,,,u_slave_wr (axi4_slave_wr),,764,1721,11867
,,,,,i_w_channel (gaxi_skid_buffer),590,1252,9026
,,,,,i_aw_channel (gaxi_skid_buffer),146,346,2256
,,,,,i_b_channel (gaxi_skid_buffer),28,109,543
,,,,u_wr_data_fifo (gaxi_fifo_sync),,1172,1107,13669
,,,,,fifo_control_inst (fifo_control),4,57,168
,,,,,read_pointer_inst (counter_bin),4,7,62
,,,,,write_pointer_inst (counter_bin),4,7,62
,,,,u_addr_mapper (addr_mapper),,0,226,633
,,,,u_aw_meta_fifo (gaxi_fifo_sync),,94,72,1008
,,,,,fifo_control_inst (fifo_control),4,16,77
,,,,,read_pointer_inst (counter_bin),2,3,30
,,,,,write_pointer_inst (counter_bin),2,3,30
,,,,u_aw_side_fifo (gaxi_fifo_sync),,18,66,320
,,,,,fifo_control_inst (fifo_control),4,38,120
,,,,,read_pointer_inst (counter_bin),3,5,46
,,,,,write_pointer_inst (counter_bin),3,5,46
,,,,u_b_fifo (gaxi_fifo_sync),,28,39,348
,,,,,fifo_control_inst (fifo_control),4,16,77
,,,,,read_pointer_inst (counter_bin),2,3,30
,,,,,write_pointer_inst (counter_bin),2,3,30
,,,u_rd_intake (pumice_rd_intake),,,1909,3165,26316
,,,,u_slave_rd (axi4_slave_rd),,712,1558,10947
,,,,,i_r_channel (gaxi_skid_buffer),566,1203,8664
,,,,,i_ar_channel (gaxi_skid_buffer),146,346,2256
,,,,u_rd_data_fifo (gaxi_fifo_sync),,1124,1065,13117
,,,,,fifo_control_inst (fifo_control),4,57,168
,,,,,read_pointer_inst (counter_bin),4,7,62
,,,,,write_pointer_inst (counter_bin),4,7,62
,,,,u_addr_mapper (addr_mapper),,0,226,633
,,,,u_order_fifo (gaxi_fifo_sync),,54,93,716
,,,,,fifo_control_inst (fifo_control),4,38,120
,,,,,read_pointer_inst (counter_bin),3,5,46
,,,,,write_pointer_inst (counter_bin),3,5,46
,,,,u_ar_side_fifo (gaxi_fifo_sync),,18,66,320
,,,,,fifo_control_inst (fifo_control),4,38,120
,,,,,read_pointer_inst (counter_bin),3,5,46
,,,,,write_pointer_inst (counter_bin),3,5,46
,,,u_wr_split (pumice_wr_splitter),,,81,235,1679
,,,,u_aw_chop (pumice_axi_burst_chopper),,72,198,1485
,,,u_rd_split (pumice_axi_burst_chopper),,,72,198,1484
,,u_sched (pumice_mem_cmd_scheduler),,,,1049,6522,29342
,,,u_arbiter (pumice_cmd_arbiter),,,238,3430,12306
,,,u_bank_timers (pumice_bank_timers),,,448,1706,9880
,,,,u_bt (bank_timer),,56,207,1223
,,,,u_bt (bank_timer),,56,207,1223
,,,,u_bt (bank_timer),,56,207,1223
,,,,u_bt (bank_timer),,56,207,1223
,,,,u_bt (bank_timer),,56,207,1223
,,,,u_bt (bank_timer),,56,207,1223
,,,,u_bt (bank_timer),,56,207,1223
,,,,u_bt (bank_timer),,56,207,1223
,,,u_global_timers (global_timers),,,69,449,1885
,,,u_init (init_sequencer),,,30,476,1518
,,,u_cmd_fifo (gaxi_fifo_sync),,,142,159,1684
,,,,fifo_control_inst (fifo_control),,4,38,120
,,,,read_pointer_inst (counter_bin),,3,5,46
,,,,write_pointer_inst (counter_bin),,3,5,46
,,,u_refresh (refresh_ctrl),,,89,194,1467
,,,u_mode_reg (mode_register),,,33,97,571
,,u_dfi (pumice_dfi_layer),,,,2603,3120,32099
,,,u_cdc (pumice_dfi_cdc),,,2478,2393,29006
,,,,u_wd_fifo (gaxi_fifo_async),,1194,1123,13917
,,,,,fifo_control_inst (fifo_control),4,57,168
,,,,,rd_ptr_counter_bingray (counter_bingray),7,12,94
,,,,,wr_ptr_counter_bingray (counter_bingray),7,12,94
,,,,,wr_ptr_gray_cross_inst (glitch_free_n_dff_arn),8,0,80
,,,,,rd_ptr_gray_cross_inst (glitch_free_n_dff_arn),8,0,80
,,,,,wr_ptr_gray2bin_inst (gray2bin),0,3,12
,,,,,rd_ptr_gray2bin_inst (gray2bin),0,3,12
,,,,u_rd_fifo (gaxi_fifo_async),,1082,1025,12629
,,,,,fifo_control_inst (fifo_control),4,57,168
,,,,,rd_ptr_counter_bingray (counter_bingray),7,12,94
,,,,,wr_ptr_counter_bingray (counter_bingray),7,12,94
,,,,,wr_ptr_gray_cross_inst (glitch_free_n_dff_arn),8,0,80
,,,,,rd_ptr_gray_cross_inst (glitch_free_n_dff_arn),8,0,80
,,,,,wr_ptr_gray2bin_inst (gray2bin),0,3,12
,,,,,rd_ptr_gray2bin_inst (gray2bin),0,3,12
,,,,u_cmd_fifo (gaxi_fifo_async),,158,169,1862
,,,,,fifo_control_inst (fifo_control),4,38,120
,,,,,rd_ptr_counter_bingray (counter_bingray),5,8,67
,,,,,wr_ptr_counter_bingray (counter_bingray),5,8,67
,,,,,wr_ptr_gray_cross_inst (glitch_free_n_dff_arn),6,0,60
