primitive,param,value,corner,status,delay_ps,lev,elapsed_s,note,error
INV,NUM_INVERTERS,4,TT,OK,14.47,1,1.2,ABC strash collapses INV pairs - chain depth is not preserved.,
INV,NUM_INVERTERS,4,FF,OK,12.22,1,1.1,ABC strash collapses INV pairs - chain depth is not preserved.,
INV,NUM_INVERTERS,4,SS,OK,22.33,1,1.1,ABC strash collapses INV pairs - chain depth is not preserved.,
INV,NUM_INVERTERS,16,TT,OK,14.47,1,1.1,ABC strash collapses INV pairs - chain depth is not preserved.,
INV,NUM_INVERTERS,16,FF,OK,12.22,1,1.1,ABC strash collapses INV pairs - chain depth is not preserved.,
INV,NUM_INVERTERS,16,SS,OK,22.33,1,1.1,ABC strash collapses INV pairs - chain depth is not preserved.,
NAND,LEVELS,3,TT,OK,31.1,2,1.1,,
NAND,LEVELS,3,FF,OK,22.39,2,1.1,,
NAND,LEVELS,3,SS,OK,45.68,2,1.1,,
NAND,LEVELS,6,TT,OK,45.61,4,1.1,,
NAND,LEVELS,6,FF,OK,34.25,4,1.1,,
NAND,LEVELS,6,SS,OK,68.63,4,1.2,,
XOR,LEVELS,3,TT,OK,61.13,5,1.1,,
XOR,LEVELS,3,FF,OK,49.46,4,1.1,,
XOR,LEVELS,3,SS,OK,93.67,5,1.1,,
XOR,LEVELS,6,TT,OK,141.44,8,1.2,,
XOR,LEVELS,6,FF,OK,113.48,8,1.2,,
XOR,LEVELS,6,SS,OK,212.75,8,1.2,,
MUX,LEVELS,3,TT,OK,46.45,4,1.1,,
MUX,LEVELS,3,FF,OK,34.75,4,1.1,,
MUX,LEVELS,3,SS,OK,67.92,4,1.1,,
MUX,LEVELS,6,TT,OK,95.31,7,1.2,,
MUX,LEVELS,6,FF,OK,67.76,7,1.2,,
MUX,LEVELS,6,SS,OK,142.82,7,1.2,,
CARRY,WIDTH,8,TT,OK,157.62,7,1.1,ripple-carry adder; per-bit carry propagation delay,
CARRY,WIDTH,8,FF,OK,115.49,8,1.2,ripple-carry adder; per-bit carry propagation delay,
CARRY,WIDTH,8,SS,OK,231.7,8,1.2,ripple-carry adder; per-bit carry propagation delay,
CARRY,WIDTH,32,TT,OK,649.88,23,1.2,ripple-carry adder; per-bit carry propagation delay,
CARRY,WIDTH,32,FF,OK,450.95,24,1.2,ripple-carry adder; per-bit carry propagation delay,
CARRY,WIDTH,32,SS,OK,955.15,24,1.2,ripple-carry adder; per-bit carry propagation delay,
MULT,WIDTH,8,TT,OK,394.86,19,1.2,inferred mult tree; RECOMMENDED PROXY for generic mixed logic,
MULT,WIDTH,8,FF,OK,331.0,20,1.2,inferred mult tree; RECOMMENDED PROXY for generic mixed logic,
MULT,WIDTH,8,SS,OK,619.04,19,1.2,inferred mult tree; RECOMMENDED PROXY for generic mixed logic,
MULT,WIDTH,16,TT,OK,754.21,31,1.5,inferred mult tree; RECOMMENDED PROXY for generic mixed logic,
MULT,WIDTH,16,FF,OK,570.25,31,1.5,inferred mult tree; RECOMMENDED PROXY for generic mixed logic,
MULT,WIDTH,16,SS,OK,1105.82,32,1.5,inferred mult tree; RECOMMENDED PROXY for generic mixed logic,
GRAY_CTR,WIDTH,8,TT,OK,107.22,5,1.1,,
GRAY_CTR,WIDTH,8,FF,OK,78.95,5,1.2,,
GRAY_CTR,WIDTH,8,SS,OK,165.66,5,1.1,,
GRAY_CTR,WIDTH,32,TT,OK,457.88,11,1.2,,
GRAY_CTR,WIDTH,32,FF,OK,478.83,11,1.2,,
GRAY_CTR,WIDTH,32,SS,OK,707.7,11,1.2,,
QUEUE,DEPTH,4,TT,OK,147.21,7,1.2,FIFO output-mux depth scales as log2(DEPTH),
QUEUE,DEPTH,4,FF,OK,109.88,8,1.2,FIFO output-mux depth scales as log2(DEPTH),
QUEUE,DEPTH,4,SS,OK,217.0,8,1.2,FIFO output-mux depth scales as log2(DEPTH),
QUEUE,DEPTH,16,TT,OK,158.78,8,1.3,FIFO output-mux depth scales as log2(DEPTH),
QUEUE,DEPTH,16,FF,OK,150.05,9,1.2,FIFO output-mux depth scales as log2(DEPTH),
QUEUE,DEPTH,16,SS,OK,271.23,9,1.3,FIFO output-mux depth scales as log2(DEPTH),
CLK_DIV,NUM_STAGES,2,TT,OK,21.05,3,1.1,,
CLK_DIV,NUM_STAGES,2,FF,OK,16.61,3,1.1,,
CLK_DIV,NUM_STAGES,2,SS,OK,31.29,3,1.1,,
CLK_DIV,NUM_STAGES,8,TT,OK,26.55,3,1.1,,
CLK_DIV,NUM_STAGES,8,FF,OK,20.46,3,1.2,,
CLK_DIV,NUM_STAGES,8,SS,OK,39.35,3,1.2,,
