name,num_channels,descriptors,total_bytes,rd_delay_cyc,wr_delay_cyc,cycles,seconds,throughput_MBps,r2r_cycles,r2r_MBps,w2w_cycles,w2w_MBps,pass,timeout
1desc_1ch_1MB,1,1,1048576,0,0,65583,0.00065583,1524.785386456856,65535,1525.902189669642,65535,1525.902189669642,True,False
1desc_2ch_1MB,2,1,2097152,0,0,131119,0.00131119,1525.3319503656983,131071,1525.8905478710012,131071,1525.8905478710012,True,False
1desc_3ch_1MB,3,1,3145728,0,0,196655,0.00196655,1525.514225420152,196607,1525.8866673109296,196607,1525.8866673109296,True,False
1desc_4ch_1MB,4,1,4194304,0,0,262191,0.0026219100000000003,1525.605379284567,262143,1525.8847270382958,262143,1525.8847270382958,True,False
1desc_5ch_1MB,5,1,5242880,0,0,327727,0.00327727,1525.6600768322414,327679,1525.8835628770837,327679,1525.8835628770837,True,False
1desc_6ch_1MB,6,1,6291456,0,0,393263,0.00393263,1525.696544043045,393215,1525.882786770596,393215,1525.882786770596,True,False
1desc_7ch_1MB,7,1,7340032,0,0,458799,0.00458799,1525.7225931181192,458751,1525.8822324093026,458751,1525.8822324093026,True,False
1desc_8ch_1MB,8,1,8388608,0,0,524335,0.00524335,1525.7421305081675,524287,1525.8818166385968,524287,1525.8818166385968,True,False
2desc_1ch_1MB,1,2,2097152,0,0,131119,0.00131119,1525.3319503656983,131071,1525.8905478710012,131071,1525.8905478710012,True,False
2desc_2ch_1MB,2,2,4194304,0,0,262191,0.0026219100000000003,1525.605379284567,262143,1525.8847270382958,262143,1525.8847270382958,True,False
2desc_3ch_1MB,3,2,6291456,0,0,393263,0.00393263,1525.696544043045,393215,1525.882786770596,393215,1525.882786770596,True,False
2desc_4ch_1MB,4,2,8388608,0,0,524335,0.00524335,1525.7421305081675,524287,1525.8818166385968,524287,1525.8818166385968,True,False
2desc_5ch_1MB,5,2,10485760,0,0,655407,0.00655407,1525.7694836948642,655359,1525.881234559989,655359,1525.881234559989,True,False
2desc_6ch_1MB,6,2,12582912,0,0,786479,0.00786479,1525.787719697538,786431,1525.8808465078307,786431,1525.8808465078307,True,False
2desc_7ch_1MB,7,2,14680064,0,0,917551,0.009175510000000001,1525.8007456806213,917503,1525.8805693278387,917503,1525.8805693278387,True,False
2desc_8ch_1MB,8,2,16777216,0,0,1048623,0.010486230000000001,1525.8105153138924,1048575,1525.8803614429105,1048575,1525.8803614429105,True,False
4desc_1ch_1MB,1,4,4194304,0,0,262191,0.0026219100000000003,1525.605379284567,262143,1525.8847270382958,262143,1525.8847270382958,True,False
4desc_2ch_1MB,2,4,8388608,0,0,524335,0.00524335,1525.7421305081675,524287,1525.8818166385968,524287,1525.8818166385968,True,False
4desc_3ch_1MB,3,4,12582912,0,0,786479,0.00786479,1525.787719697538,786431,1525.8808465078307,786431,1525.8808465078307,True,False
4desc_4ch_1MB,4,4,16777216,0,0,1048623,0.010486230000000001,1525.8105153138924,1048575,1525.8803614429105,1048575,1525.8803614429105,True,False
4desc_5ch_1MB,5,4,20971520,0,0,1310767,0.01310767,1525.8241930106572,1310719,1525.8800704041064,1310719,1525.8800704041064,True,False
4desc_6ch_1MB,6,4,25165824,0,0,1572911,0.01572911,1525.8333116114006,1572863,1525.8798763782986,1572863,1525.8798763782986,True,False
4desc_7ch_1MB,7,4,29360128,0,0,1835055,0.01835055,1525.8398249643744,1835007,1525.8797377884662,1835007,1525.8797377884662,True,False
4desc_8ch_1MB,8,4,33554432,0,0,2097199,0.020971990000000003,1525.8447100155968,2097151,1525.8796338461082,2097151,1525.8796338461082,True,False
8desc_1ch_1MB,1,8,8388608,0,0,524335,0.00524335,1525.7421305081675,524287,1525.8818166385968,524287,1525.8818166385968,True,False
8desc_2ch_1MB,2,8,16777216,0,0,1048623,0.010486230000000001,1525.8105153138924,1048575,1525.8803614429105,1048575,1525.8803614429105,True,False
8desc_3ch_1MB,3,8,25165824,0,0,1572911,0.01572911,1525.8333116114006,1572863,1525.8798763782986,1572863,1525.8798763782986,True,False
8desc_4ch_1MB,4,8,33554432,0,0,2097199,0.020971990000000003,1525.8447100155968,2097151,1525.8796338461082,2097151,1525.8796338461082,True,False
8desc_5ch_1MB,5,8,41943040,0,0,2621487,0.02621487,1525.8515491398584,2621439,1525.879488326831,2621439,1525.879488326831,True,False
8desc_6ch_1MB,6,8,50331648,0,0,3145775,0.03145775,1525.856108590093,3145727,1525.879391313995,3145727,1525.879391313995,True,False
8desc_7ch_1MB,7,8,58720256,0,0,3670063,0.036700630000000005,1525.8593653569433,3670015,1525.8793220191199,3670015,1525.8793220191199,True,False
8desc_8ch_1MB,8,8,67108864,0,0,4194351,0.04194351,1525.8618079412047,4194303,1525.8792700479676,4194303,1525.8792700479676,True,False
16desc_1ch_1MB,1,16,16777216,0,0,1048623,0.010486230000000001,1525.8105153138924,1048575,1525.8803614429105,1048575,1525.8803614429105,True,False
16desc_2ch_1MB,2,16,33554432,0,0,2097199,0.020971990000000003,1525.8447100155968,2097151,1525.8796338461082,2097151,1525.8796338461082,True,False
16desc_3ch_1MB,3,16,50331648,0,0,3145775,0.03145775,1525.856108590093,3145727,1525.879391313995,3145727,1525.879391313995,True,False
16desc_4ch_1MB,4,16,67108864,0,0,4194351,0.04194351,1525.8618079412047,4194303,1525.8792700479676,4194303,1525.8792700479676,True,False
16desc_5ch_1MB,5,16,83886080,0,0,5242927,0.05242927,1525.8652275723084,5242879,1525.87919728836,5242879,1525.87919728836,True,False
16desc_6ch_1MB,6,16,100663296,0,0,6291503,0.06291503000000001,1525.8675073348925,6291455,1525.879148781959,6291455,1525.879148781959,True,False
16desc_7ch_1MB,7,16,117440512,0,0,7340079,0.07340079000000001,1525.8691357409095,7340031,1525.8791141345314,7340031,1525.8791141345314,True,False
16desc_8ch_1MB,8,16,134217728,0,0,8388655,0.08388655,1525.870357047703,8388607,1525.879088148962,8388607,1525.879088148962,True,False
