# desc sweep 1ch 512KB delay0
#
# INPUT matrix for: make host-characterize ARGS="--csv csv/desc_sweep_1ch_512KB_delay0.csv"
# Columns: name, num_channels, descriptors_per_channel, transfer_bytes
#
# Derived from the pre-migration RESULT file by dropping the measured
# columns -- those numbers came off a NexysA7 at 100 MHz and are not
# measurements of this board. Results land in results/.
#
# name,num_channels,descriptors,total_bytes
1desc_1ch_512KB,1,1,524288
2desc_1ch_512KB,1,2,1048576
3desc_1ch_512KB,1,3,1572864
4desc_1ch_512KB,1,4,2097152
5desc_1ch_512KB,1,5,2621440
6desc_1ch_512KB,1,6,3145728
7desc_1ch_512KB,1,7,3670016
8desc_1ch_512KB,1,8,4194304
9desc_1ch_512KB,1,9,4718592
10desc_1ch_512KB,1,10,5242880
11desc_1ch_512KB,1,11,5767168
12desc_1ch_512KB,1,12,6291456
13desc_1ch_512KB,1,13,6815744
14desc_1ch_512KB,1,14,7340032
15desc_1ch_512KB,1,15,7864320
16desc_1ch_512KB,1,16,8388608
