date,time,config,channels,descriptors,desc_KB,mb_moved,dma_time_s,throughput_MBps,datapath_R_pct,datapath_W_pct,datapath_E2E_pct,R_prod_pct,R_bp_pct,R_starv_pct,W_prod_pct,W_bp_pct,W_starv_pct,E2E_util_pct,overhead_delta_pp
2026-06-05,17:09:41,1desc_1ch_1MB,1,1,1024,1,0.064,15.6,94.1,94.1,94.1,94.1,0.0,5.9,94.1,0.0,5.9,0.975,93.125
2026-06-05,17:09:43,1desc_2ch_1MB,2,1,1024,2,0.08,25.0,94.1,94.1,94.1,94.1,0.0,5.9,94.1,0.0,5.9,1.562,92.537
2026-06-05,17:09:44,1desc_3ch_1MB,3,1,1024,3,0.096,31.2,94.1,94.1,94.1,94.1,0.0,5.9,94.1,0.0,5.9,1.95,92.15
2026-06-05,17:09:46,1desc_4ch_1MB,4,1,1024,4,0.112,35.7,94.1,94.1,94.1,94.1,0.0,5.9,94.1,0.0,5.9,2.231,91.869
2026-06-05,17:09:48,1desc_5ch_1MB,5,1,1024,5,0.128,39.0,94.1,94.1,94.1,94.1,0.0,5.9,94.1,0.0,5.9,2.438,91.662
2026-06-05,17:09:50,1desc_6ch_1MB,6,1,1024,6,0.144,41.6,94.1,94.1,94.1,94.1,0.0,5.9,94.1,0.0,5.9,2.6,91.5
2026-06-05,17:09:52,1desc_7ch_1MB,7,1,1024,7,0.16,43.7,94.1,94.1,94.1,94.1,0.0,5.9,94.1,0.0,5.9,2.731,91.369
2026-06-05,17:09:55,1desc_8ch_1MB,8,1,1024,8,0.176,45.4,94.1,94.1,94.1,94.1,0.0,5.9,94.1,0.0,5.9,2.837,91.262
2026-06-05,17:09:58,2desc_1ch_1MB,1,2,1024,2,0.064,31.3,94.1,94.1,94.1,94.1,0.0,5.9,94.1,0.0,5.9,1.956,92.144
2026-06-05,17:09:59,2desc_2ch_1MB,2,2,1024,4,0.08,49.8,94.1,94.1,94.1,94.1,0.0,5.9,94.1,0.0,5.9,3.112,90.987
