config,scenario,family,burst_len,txn_count,gap,id_mode,ok,mismatched,bytes_moved,clk_mhz,wr_cycles,wr_util,wr_bw_mb_s,rd_cycles,rd_util,rd_bw_mb_s,rd_avg_latency_cyc,rd_hist_total,notes
baseline,incremental_bl4,incremental,4,64000,0,0,1,0,2048000,75.0,16583539,0.0118,9.26,16194118,0.0118,9.48,747.00,64000,
baseline,incremental_bl8,incremental,8,64000,0,0,1,0,4096000,75.0,33166698,0.0133,9.26,32387041,0.0138,9.49,750.00,64000,
baseline,incremental_bl16,incremental,16,64000,0,0,1,0,8192000,75.0,66334045,0.0142,9.26,64773653,0.0147,9.49,767.99,64000,
baseline,row_major_bl4,row_major,4,64000,0,0,1,0,2048000,75.0,16648498,0.0118,9.23,16648693,0.0119,9.23,767.98,64000,
baseline,row_major_bl8,row_major,8,64000,0,0,1,0,4096000,75.0,33297473,0.0133,9.23,33297564,0.0133,9.23,767.99,64000,
baseline,row_major_bl16,row_major,16,64000,0,0,1,0,8192000,75.0,66594124,0.0142,9.23,66594141,0.0142,9.23,767.99,64000,
baseline,col_major_bl4,col_major,4,64000,0,0,1,0,2048000,75.0,16648874,0.0118,9.23,16648546,0.0118,9.23,767.98,64000,
baseline,col_major_bl8,col_major,8,64000,0,0,1,0,4096000,75.0,33297065,0.0133,9.23,33297156,0.0133,9.23,767.99,64000,
baseline,col_major_bl16,col_major,16,64000,0,0,1,0,8192000,75.0,66594104,0.0142,9.23,66594127,0.0142,9.23,767.99,64000,
baseline,col_major_interleaved_bl4,col_major_interleaved,4,64000,0,0,1,0,2048000,75.0,3500993,0.0304,43.87,5429089,0.0237,28.29,217.02,64000,
baseline,col_major_interleaved_bl8,col_major_interleaved,8,64000,0,0,1,0,4096000,75.0,11654215,0.0305,26.36,16511417,0.0237,18.61,374.38,64000,
baseline,col_major_interleaved_bl16,col_major_interleaved,16,64000,0,0,1,0,8192000,75.0,35978130,0.0251,17.08,37459669,0.0244,16.40,767.99,64000,
baseline,col_major_bl8_multiid,col_major,8,64000,0,2,1,0,4096000,75.0,33297135,0.0133,9.23,33297292,0.0133,9.23,767.99,64000,
baseline,col_major_bl8_gap,col_major,8,64000,8,0,1,0,4096000,75.0,33297047,0.0133,9.23,33297072,0.0133,9.23,767.99,64000,
bank_interleave,incremental_bl4,incremental,4,64000,0,0,1,0,2048000,75.0,2656551,0.0355,57.82,2656757,0.0355,57.81,100.09,64000,
bank_interleave,incremental_bl8,incremental,8,64000,0,0,1,0,4096000,75.0,5313298,0.0474,57.82,5313376,0.0474,57.82,100.08,64000,
bank_interleave,incremental_bl16,incremental,16,64000,0,0,1,0,8192000,75.0,10626568,0.0656,57.82,10626602,0.0656,57.82,100.08,64000,
bank_interleave,row_major_bl4,row_major,4,64000,0,0,1,0,2048000,75.0,2656711,0.0355,57.82,2656688,0.0355,57.82,102.13,64000,
bank_interleave,row_major_bl8,row_major,8,64000,0,0,1,0,4096000,75.0,5313347,0.0474,57.82,5313378,0.0474,57.82,100.08,64000,
bank_interleave,row_major_bl16,row_major,16,64000,0,0,1,0,8192000,75.0,10626748,0.0656,57.82,10626792,0.0656,57.82,100.08,64000,
bank_interleave,col_major_bl4,col_major,4,64000,0,0,1,0,2048000,75.0,4183154,0.0267,36.72,4183400,0.0267,36.72,193.02,64000,
