config,scenario,family,burst_len,txn_count,gap,id_mode,ok,mismatched,bytes_moved,clk_mhz,wr_cycles,wr_util,wr_bw_mb_s,rd_cycles,rd_util,rd_bw_mb_s,rd_avg_latency_cyc,rd_hist_total,notes
open_interleave,incremental_bl4,incremental,4,64000,0,0,1,0,2048000,75.0,699159,0.0426,219.69,1138174,0.0426,134.95,49.57,64000,
open_interleave,incremental_bl8,incremental,8,64000,0,0,1,0,4096000,75.0,1398245,0.0711,219.70,2276632,0.0711,134.94,49.68,64000,
open_interleave,incremental_bl16,incremental,16,64000,0,0,1,0,8192000,75.0,2794271,0.1217,219.88,4552801,0.1066,134.95,49.54,64000,
open_interleave,row_major_bl4,row_major,4,64000,0,0,1,0,2048000,75.0,692784,0.0426,221.71,1130074,0.0426,135.92,49.30,64000,
open_interleave,row_major_bl8,row_major,8,64000,0,0,1,0,4096000,75.0,1385577,0.0711,221.71,2260057,0.0710,135.93,49.30,64000,
open_interleave,row_major_bl16,row_major,16,64000,0,0,1,0,8192000,75.0,2771027,0.1218,221.72,4520006,0.1066,135.93,49.30,64000,
open_interleave,col_major_bl4,col_major,4,64000,0,0,1,0,2048000,75.0,4226108,0.0267,36.35,4218550,0.0267,36.41,192.00,64000,
open_interleave,col_major_bl8,col_major,8,64000,0,0,1,0,4096000,75.0,5313412,0.0474,57.82,5313386,0.0474,57.82,100.08,64000,
open_interleave,col_major_bl16,col_major,16,64000,0,0,1,0,8192000,75.0,5431028,0.0948,113.13,8324631,0.0775,73.81,102.40,64000,
open_interleave,col_major_interleaved_bl4,col_major_interleaved,4,64000,0,0,1,0,2048000,75.0,1092622,0.0426,140.58,1463347,0.0355,104.96,67.87,64000,
open_interleave,col_major_interleaved_bl8,col_major_interleaved,8,64000,0,0,1,0,4096000,75.0,1734255,0.0711,177.14,2754510,0.0609,111.53,61.41,64000,
open_interleave,col_major_interleaved_bl16,col_major_interleaved,16,64000,0,0,1,0,8192000,75.0,3121858,0.1218,196.81,5034911,0.1066,122.03,55.36,64000,
open_interleave,col_major_bl8_multiid,col_major,8,64000,0,2,1,0,4096000,75.0,5312643,0.0474,57.82,5313436,0.0474,57.82,102.13,64000,
open_interleave,col_major_bl8_gap,col_major,8,64000,8,0,1,0,4096000,75.0,5313425,0.0474,57.82,5312677,0.0474,57.82,102.11,64000,
open_interleave,incremental_bl8_multiid,incremental,8,64000,0,2,1,0,4096000,75.0,1397116,0.0711,219.88,2276299,0.0711,134.96,49.69,64000,
open_interleave,row_major_bl8_multiid,row_major,8,64000,0,2,1,0,4096000,75.0,1385505,0.0711,221.72,2260127,0.0711,135.92,49.30,64000,
open_interleave,col_major_bl8_multiid,col_major,8,64000,0,2,1,0,4096000,75.0,5312643,0.0474,57.82,5229923,0.0474,58.74,100.02,64000,
open_interleave,col_major_interleaved_bl8_multiid,col_major_interleaved,8,64000,0,2,1,0,4096000,75.0,1734226,0.0711,177.14,2754470,0.0609,111.53,61.41,64000,
