config,scenario,family,burst_len,txn_count,gap,id_mode,ok,mismatched,bytes_moved,clk_mhz,wr_cycles,wr_util,wr_bw_mb_s,rd_cycles,rd_util,rd_bw_mb_s,rd_avg_latency_cyc,rd_hist_total,notes
baseline,incremental_bl4,incremental,4,64000,0,0,1,0,2048000,75.0,16583266,0.0118,9.26,16193844,0.0118,9.49,747.00,64000,
baseline,incremental_bl8,incremental,8,64000,0,0,1,0,4096000,75.0,33167055,0.0133,9.26,32387146,0.0138,9.49,750.00,64000,
baseline,incremental_bl16,incremental,16,64000,0,0,1,0,8192000,75.0,66333765,0.0145,9.26,64773661,0.0147,9.49,767.99,64000,
baseline,row_major_bl4,row_major,4,64000,0,0,1,0,2048000,75.0,16648520,0.0118,9.23,16648514,0.0119,9.23,767.98,64000,
baseline,row_major_bl8,row_major,8,64000,0,0,1,0,4096000,75.0,33297025,0.0133,9.23,33297565,0.0133,9.23,767.99,64000,
baseline,row_major_bl16,row_major,16,64000,0,0,1,0,8192000,75.0,66594117,0.0142,9.23,66594125,0.0142,9.23,767.99,64000,
baseline,col_major_bl4,col_major,4,64000,0,0,1,0,2048000,75.0,16648735,0.0119,9.23,16648541,0.0119,9.23,767.98,64000,
baseline,col_major_bl8,col_major,8,64000,0,0,1,0,4096000,75.0,33297049,0.0133,9.23,33297085,0.0133,9.23,767.99,64000,
baseline,col_major_bl16,col_major,16,64000,0,0,1,0,8192000,75.0,66594100,0.0142,9.23,66594632,0.0142,9.23,767.99,64000,
baseline,col_major_interleaved_bl4,col_major_interleaved,4,64000,0,0,1,0,2048000,75.0,3535776,0.0304,43.44,5518433,0.0237,27.83,212.97,64000,
baseline,col_major_interleaved_bl8,col_major_interleaved,8,64000,0,0,1,0,4096000,75.0,11675834,0.0305,26.31,16511186,0.0237,18.61,374.40,64000,
baseline,col_major_interleaved_bl16,col_major_interleaved,16,64000,0,0,1,0,8192000,75.0,35978145,0.0251,17.08,37459666,0.0244,16.40,767.99,64000,
baseline,col_major_bl8_multiid,col_major,8,64000,0,2,1,0,4096000,75.0,33297027,0.0133,9.23,33297046,0.0133,9.23,767.99,64000,
baseline,col_major_bl8_gap,col_major,8,64000,8,0,1,0,4096000,75.0,33297053,0.0133,9.23,33297087,0.0133,9.23,767.99,64000,
bank_interleave,incremental_bl4,incremental,4,64000,0,0,1,0,2048000,75.0,2628763,0.0354,58.43,2656631,0.0355,57.82,100.08,64000,
bank_interleave,incremental_bl8,incremental,8,64000,0,0,1,0,4096000,75.0,5313199,0.0474,57.82,5313156,0.0474,57.82,102.12,64000,
bank_interleave,incremental_bl16,incremental,16,64000,0,0,1,0,8192000,75.0,10626760,0.0656,57.82,10626668,0.0655,57.82,102.13,64000,
bank_interleave,row_major_bl4,row_major,4,64000,0,0,1,0,2048000,75.0,2656654,0.0356,57.82,2656759,0.0355,57.81,100.09,64000,
bank_interleave,row_major_bl8,row_major,8,64000,0,0,1,0,4096000,75.0,5257439,0.0474,58.43,5313450,0.0474,57.82,100.09,64000,
bank_interleave,row_major_bl16,row_major,16,64000,0,0,1,0,8192000,75.0,10626760,0.0656,57.82,10626788,0.0656,57.82,100.09,64000,
bank_interleave,col_major_bl4,col_major,4,64000,0,0,1,0,2048000,75.0,4262694,0.0267,36.03,4211645,0.0267,36.47,192.00,64000,
bank_interleave,col_major_bl8,col_major,8,64000,0,0,1,0,4096000,75.0,5257475,0.0475,58.43,5313246,0.0474,57.82,102.12,64000,
bank_interleave,col_major_bl16,col_major,16,64000,0,0,1,0,8192000,75.0,10626759,0.0656,57.82,10626784,0.0656,57.82,100.08,64000,
bank_interleave,col_major_interleaved_bl4,col_major_interleaved,4,64000,0,0,1,0,2048000,75.0,4262816,0.0266,36.03,4216800,0.0266,36.43,192.00,64000,
bank_interleave,col_major_interleaved_bl8,col_major_interleaved,8,64000,0,0,1,0,4096000,75.0,5313360,0.0474,57.82,5313388,0.0474,57.82,100.08,64000,
bank_interleave,col_major_interleaved_bl16,col_major_interleaved,16,64000,0,0,1,0,8192000,75.0,10514913,0.0656,58.43,10626723,0.0657,57.82,100.08,64000,
bank_interleave,col_major_bl8_multiid,col_major,8,64000,0,2,1,0,4096000,75.0,5257417,0.0473,58.43,5313453,0.0474,57.82,100.09,64000,
bank_interleave,col_major_bl8_gap,col_major,8,64000,8,0,1,0,4096000,75.0,5313355,0.0475,57.82,5313423,0.0472,57.82,102.13,64000,
open_page,incremental_bl4,incremental,4,64000,0,0,1,0,2048000,75.0,1712325,0.0355,89.70,1706752,0.0355,90.00,96.51,64000,
open_page,incremental_bl8,incremental,8,64000,0,0,1,0,4096000,75.0,3424635,0.0609,89.70,3406626,0.0608,90.18,96.01,64000,
open_page,incremental_bl16,incremental,16,64000,0,0,1,0,8192000,75.0,6849290,0.0853,89.70,6813063,0.0853,90.18,96.00,64000,
