config,scenario,family,burst_len,txn_count,gap,id_mode,ok,mismatched,bytes_moved,clk_mhz,wr_cycles,wr_util,wr_bw_mb_s,rd_cycles,rd_util,rd_bw_mb_s,rd_avg_latency_cyc,rd_hist_total,notes
open_interleave_ooo,incremental_bl4,incremental,4,64000,0,0,1,0,2048000,75.0,698523,0.0426,219.89,1138098,0.0426,134.96,49.62,64000,
open_interleave_ooo,incremental_bl8,incremental,8,64000,0,0,1,0,4096000,75.0,1397175,0.0711,219.87,2276305,0.0711,134.96,49.69,64000,
open_interleave_ooo,incremental_bl16,incremental,16,64000,0,0,1,0,8192000,75.0,2794194,0.1218,219.88,4552339,0.1066,134.96,49.62,64000,
open_interleave_ooo,row_major_bl4,row_major,4,64000,0,0,1,0,2048000,75.0,692777,0.0427,221.72,1130073,0.0426,135.92,49.30,64000,
open_interleave_ooo,row_major_bl8,row_major,8,64000,0,0,1,0,4096000,75.0,1385506,0.0711,221.72,2260060,0.0711,135.93,49.30,64000,
open_interleave_ooo,row_major_bl16,row_major,16,64000,0,0,1,0,8192000,75.0,2770949,0.1218,221.73,4520004,0.1066,135.93,49.30,64000,
open_interleave_ooo,col_major_bl4,col_major,4,64000,0,0,1,0,2048000,75.0,4218375,0.0266,36.41,4226203,0.0267,36.34,199.08,64000,
open_interleave_ooo,col_major_bl8,col_major,8,64000,0,0,1,0,4096000,75.0,5313217,0.0474,57.82,5313377,0.0474,57.82,100.08,64000,
open_interleave_ooo,col_major_bl16,col_major,16,64000,0,0,1,0,8192000,75.0,5432966,0.0948,113.09,8324690,0.0775,73.80,102.39,64000,
open_interleave_ooo,col_major_interleaved_bl4,col_major_interleaved,4,64000,0,0,1,0,2048000,75.0,1092545,0.0426,140.59,1463293,0.0355,104.97,67.87,64000,
open_interleave_ooo,col_major_interleaved_bl8,col_major_interleaved,8,64000,0,0,1,0,4096000,75.0,1734199,0.0711,177.14,2754396,0.0609,111.53,60.70,64000,
open_interleave_ooo,col_major_interleaved_bl16,col_major_interleaved,16,64000,0,0,1,0,8192000,75.0,3121747,0.1218,196.81,5034838,0.1066,122.03,55.36,64000,
open_interleave_ooo,col_major_bl8_multiid,col_major,8,64000,0,2,1,0,4096000,75.0,5313350,0.0474,57.82,5313385,0.0474,57.82,100.08,64000,
open_interleave_ooo,col_major_bl8_gap,col_major,8,64000,8,0,1,0,4096000,75.0,5312643,0.0474,57.82,5313387,0.0474,57.82,100.08,64000,
