config,scenario,family,burst_len,txn_count,gap,id_mode,ok,mismatched,bytes_moved,clk_mhz,wr_cycles,wr_util,wr_bw_mb_s,rd_cycles,rd_util,rd_bw_mb_s,rd_avg_latency_cyc,rd_hist_total,notes
open_interleave,incremental_bl4,incremental,4,64000,0,0,1,0,2048000,75.0,698530,0.0422,219.89,1138182,0.0426,134.95,49.57,64000,
open_interleave,incremental_bl8,incremental,8,64000,0,0,1,0,4096000,75.0,1397129,0.0711,219.88,2276545,0.0712,134.94,49.68,64000,
open_interleave,incremental_bl16,incremental,16,64000,0,0,1,0,8192000,75.0,2794201,0.1218,219.88,4552695,0.1067,134.95,49.53,64000,
open_interleave,row_major_bl4,row_major,4,64000,0,0,1,0,2048000,75.0,692776,0.0424,221.72,1130074,0.0425,135.92,49.30,64000,
open_interleave,row_major_bl8,row_major,8,64000,0,0,1,0,4096000,75.0,1385504,0.0708,221.72,2260119,0.0713,135.92,49.31,64000,
open_interleave,row_major_bl16,row_major,16,64000,0,0,1,0,8192000,75.0,2771027,0.1214,221.72,4520082,0.1065,135.93,49.30,64000,
open_interleave,col_major_bl4,col_major,4,64000,0,0,1,0,2048000,75.0,4226171,0.0267,36.34,4218476,0.0266,36.41,192.00,64000,
open_interleave,col_major_bl8,col_major,8,64000,0,0,1,0,4096000,75.0,5313347,0.0473,57.82,5313449,0.0474,57.82,102.13,64000,
open_interleave,col_major_bl16,col_major,16,64000,0,0,1,0,8192000,75.0,5430301,0.0947,113.14,8324349,0.0776,73.81,102.40,64000,
open_interleave,col_major_interleaved_bl4,col_major_interleaved,4,64000,0,0,1,0,2048000,75.0,1092558,0.0427,140.59,1463229,0.0355,104.97,67.87,64000,
open_interleave,col_major_interleaved_bl8,col_major_interleaved,8,64000,0,0,1,0,4096000,75.0,1734216,0.0710,177.14,2754381,0.0609,111.53,61.41,64000,
open_interleave,col_major_interleaved_bl16,col_major_interleaved,16,64000,0,0,1,0,8192000,75.0,3121813,0.1217,196.81,5034857,0.1066,122.03,55.36,64000,
open_interleave,col_major_bl8_multiid,col_major,8,64000,0,2,1,0,4096000,75.0,5313053,0.0473,57.82,5313448,0.0474,57.82,102.13,64000,
open_interleave,col_major_bl8_gap,col_major,8,64000,8,0,1,0,4096000,75.0,5313359,0.0475,57.82,5313368,0.0473,57.82,102.13,64000,
