Sample in Buffer,Sample in Window,TRIGGER,w_dfi_address[25:0],w_dfi_bank[5:0],w_dfi_cas_n[1:0],w_dfi_cs_n[1:0],w_dfi_ras_n[1:0],w_dfi_rddata[63:0],w_dfi_rddata_en[1:0],w_dfi_rddata_valid[1:0],w_dfi_we_n[1:0],w_dfi_wrdata[63:0],w_dfi_wrdata_en[1:0],w_idelay_rdy,u_harness/w_dfi_rddata_dly[63:0],u_harness/w_rd_dbg_actual[63:0],u_harness/w_rd_dbg_expected[63:0],u_harness/w_rd_dbg_mismatch,u_harness/w_rd_dbg_valid
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0000000,00,3,3,3,0000000000000000,0,0,3,70afe43db6052378,0,1,0000000000000000,c7dddaf301771db6,c7dddaf301771db6,0,0
1,1,0,0000000,00,3,3,3,0000000000000000,0,0,3,70afe43db6052378,0,1,0000000000000000,c7dddaf301771db6,c7dddaf301771db6,0,0
2,2,0,0000000,00,3,3,3,0000000000000000,0,0,3,70afe43db6052378,0,1,0000000000000000,c7dddaf301771db6,c7dddaf301771db6,0,0
3,3,0,0000000,00,3,3,3,0000000000000000,0,0,3,70afe43db6052378,0,1,0000000000000000,c7dddaf301771db6,c7dddaf301771db6,0,0
4,4,0,0000000,00,3,3,3,0000000000000000,0,0,3,70afe43db6052378,0,1,0000000000000000,c7dddaf301771db6,c7dddaf301771db6,0,0
5,5,0,0000000,00,3,3,3,0000000000000000,0,0,3,70afe43db6052378,0,1,0000000000000000,c7dddaf301771db6,c7dddaf301771db6,0,0
6,6,0,0000000,00,3,3,3,0000000000000000,0,0,3,70afe43db6052378,0,1,0000000000000000,c7dddaf301771db6,c7dddaf301771db6,0,0
7,7,0,0000000,00,3,3,3,0000000000000000,0,0,3,70afe43db6052378,0,1,0000000000000000,c7dddaf301771db6,c7dddaf301771db6,0,0
8,8,0,0000000,00,3,3,3,0000000000000000,0,0,3,70afe43db6052378,0,1,0000000000000000,c7dddaf301771db6,c7dddaf301771db6,0,0
9,9,0,0000000,00,3,3,3,0000000000000000,0,0,3,70afe43db6052378,0,1,0000000000000000,c7dddaf301771db6,c7dddaf301771db6,0,0
10,10,0,0000000,00,3,3,3,0000000000000000,0,0,3,70afe43db6052378,0,1,0000000000000000,c7dddaf301771db6,c7dddaf301771db6,0,0
11,11,0,0000000,00,3,3,3,0000000000000000,0,0,3,70afe43db6052378,0,1,0000000000000000,c7dddaf301771db6,c7dddaf301771db6,0,0
12,12,0,0000000,00,3,3,3,0000000000000000,0,0,3,70afe43db6052378,0,1,0000000000000000,c7dddaf301771db6,c7dddaf301771db6,0,0
13,13,0,0000000,00,3,3,3,0000000000000000,0,0,3,70afe43db6052378,0,1,0000000000000000,c7dddaf301771db6,c7dddaf301771db6,0,0
14,14,0,0000000,00,3,3,3,0000000000000000,0,0,3,70afe43db6052378,0,1,0000000000000000,c7dddaf301771db6,c7dddaf301771db6,0,0
15,15,0,0000000,00,3,3,3,0000000000000000,0,0,3,70afe43db6052378,0,1,0000000000000000,c7dddaf301771db6,c7dddaf301771db6,0,0
