Sample in Buffer,Sample in Window,TRIGGER,w_dfi_address[25:0],w_dfi_bank[5:0],w_dfi_cas_n[1:0],w_dfi_cs_n[1:0],w_dfi_ras_n[1:0],w_dfi_rddata[63:0],w_dfi_rddata_en[1:0],w_dfi_rddata_valid[1:0],w_dfi_we_n[1:0],w_dfi_wrdata[63:0],w_dfi_wrdata_en[1:0],w_idelay_rdy,u_harness/w_dfi_rddata_dly[63:0],u_harness/w_rd_dbg_actual[63:0],u_harness/w_rd_dbg_expected[63:0],u_harness/w_rd_dbg_mismatch,u_harness/w_rd_dbg_valid
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0000000,00,3,3,3,a171de4c663495b3,0,0,3,e5b446b1231e81f4,0,1,bc66c4e77b238f18,44fe4a7482548d31,44fe4a7482548d31,0,0
1,1,0,0000000,00,3,3,3,08c37ce4cf8618e6,0,0,3,e5b446b1231e81f4,0,1,2ffa5319e8bf024d,44fe4a7482548d31,44fe4a7482548d31,0,0
2,2,0,0000000,00,3,3,3,8648f1b1410dba4e,0,0,3,e5b446b1231e81f4,0,1,a171de4c663495b3,44fe4a7482548d31,44fe4a7482548d31,0,0
3,3,0,00001a0,06,2,2,3,15d4664fd291371b,0,0,2,e5b446b1231e81f4,3,1,08c37ce4cf8618e6,44fe4a7482548d31,44fe4a7482548d31,0,0
4,4,0,00001a4,06,2,2,3,9b5feb1a5c1aa0e5,0,0,2,68e1c83aae4b0f7f,3,1,8648f1b1410dba4e,44fe4a7482548d31,44fe4a7482548d31,0,0
5,5,0,00001a8,06,2,2,3,46b1231e81f42db0,0,0,2,ff1f5ba639b59ce3,3,1,15d4664fd291371b,44fe4a7482548d31,44fe4a7482548d31,0,0
6,6,0,00001ac,06,2,2,3,0000000000000000,0,0,2,724ad52db4e01268,3,1,9b5feb1a5c1aa0e5,44fe4a7482548d31,44fe4a7482548d31,0,0
7,7,0,00001b0,06,2,2,3,0000000000000000,0,0,2,d0e27c9f1648bbda,3,1,46b1231e81f42db0,44fe4a7482548d31,44fe4a7482548d31,0,0
8,8,0,00001b4,06,2,2,3,46b0000000000000,0,0,2,5db7f2149b1d3551,3,1,0000000000000000,44fe4a7482548d31,44fe4a7482548d31,0,0
9,9,0,00001b8,06,2,2,3,46b1231e81f4e5b4,0,0,2,ca4961880ce3a6cd,3,1,0000000000000000,44fe4a7482548d31,44fe4a7482548d31,0,0
10,10,0,00001bc,06,2,2,3,c83aae4b0f7fe5b4,0,0,2,471cef0381b62846,3,1,46b0000000000000,44fe4a7482548d31,44fe4a7482548d31,0,0
11,11,0,0000000,00,3,3,3,5ba639b59ce368e1,0,0,3,5a40da559cea1d10,0,1,46b1231e81f4e5b4,44fe4a7482548d31,44fe4a7482548d31,0,0
12,12,0,0000000,00,3,3,3,d52db4e01268ff1f,0,0,3,5a40da559cea1d10,0,1,c83aae4b0f7fe5b4,44fe4a7482548d31,44fe4a7482548d31,0,0
13,13,0,0000000,00,3,3,3,7c9f1648bbda724a,0,0,3,5a40da559cea1d10,0,1,5ba639b59ce368e1,44fe4a7482548d31,44fe4a7482548d31,0,0
14,14,0,0000000,00,3,3,3,f2149b1d3551d0e2,0,0,3,5a40da559cea1d10,0,1,d52db4e01268ff1f,44fe4a7482548d31,44fe4a7482548d31,0,0
15,15,0,00001c0,06,2,2,3,61880ce3a6cd5db7,0,0,2,5a40da559cea1d10,3,1,7c9f1648bbda724a,44fe4a7482548d31,44fe4a7482548d31,0,0
16,16,0,00001c4,06,2,2,3,ef0381b62846ca49,0,0,2,d71554de11bf939b,3,1,f2149b1d3551d0e2,44fe4a7482548d31,44fe4a7482548d31,0,0
17,17,0,00001c8,06,2,2,3,da559cea1d10471c,0,0,2,40ebc74286410007,3,1,61880ce3a6cd5db7,44fe4a7482548d31,44fe4a7482548d31,0,0
18,18,0,00001cc,06,2,2,3,0000000000000000,0,0,2,cdbe49c90b148e8c,3,1,ef0381b62846ca49,44fe4a7482548d31,44fe4a7482548d31,0,0
19,19,0,00001d0,06,2,2,3,0000000000000000,0,0,2,6f16e07ba9bc273e,3,1,da559cea1d10471c,44fe4a7482548d31,44fe4a7482548d31,0,0
20,20,0,00001d4,06,2,2,3,da10000000000000,0,0,2,e2436ef024e9a9b5,3,1,0000000000000000,44fe4a7482548d31,44fe4a7482548d31,0,0
21,21,0,00001d8,06,2,2,3,da559cea1d105a40,0,0,2,75bdfd6cb3173a29,3,1,0000000000000000,44fe4a7482548d31,44fe4a7482548d31,0,0
22,22,0,00001dc,06,2,2,3,54de11bf939b5a40,0,0,2,f8e873e73e42b4a2,3,1,da10000000000000,44fe4a7482548d31,44fe4a7482548d31,0,0
23,23,0,0000000,00,3,3,3,c74286410007d715,0,0,3,30ecae09f646694c,0,1,da559cea1d105a40,44fe4a7482548d31,44fe4a7482548d31,0,0
