Sample in Buffer,Sample in Window,TRIGGER,w_dfi_address[25:0],w_dfi_bank[5:0],w_dfi_cas_n[1:0],w_dfi_cs_n[1:0],w_dfi_ras_n[1:0],w_dfi_rddata[63:0],w_dfi_rddata_en[1:0],w_dfi_rddata_valid[1:0],w_dfi_we_n[1:0],w_dfi_wrdata[63:0],w_dfi_wrdata_en[1:0],w_idelay_rdy,u_harness/w_dfi_rddata_dly[63:0],u_harness/u_dut/u_ctrl/u_core/u_core/w_cmd_op[3:0],u_harness/u_dut/u_ctrl/u_core/u_core/w_cmd_rdy,u_harness/u_dut/u_ctrl/u_core/u_core/w_cmd_v,u_harness/u_dut/u_ctrl/u_core/u_core/u_dfi/u_rd/r_outstanding[4:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0000000,00,3,3,3,0000000000000000,0,0,3,0000000000000000,0,1,0000000000000000,8,1,0,00
1,1,0,0000000,00,3,3,3,0000000000000000,0,0,3,0000000000000000,0,1,0000000000000000,8,1,0,00
2,2,0,0000000,00,3,3,3,0000000000000000,0,0,3,0000000000000000,0,1,0000000000000000,8,1,0,00
3,3,0,0000000,00,3,3,3,0000000000000000,0,0,3,0000000000000000,0,1,0000000000000000,8,1,0,00
4,4,0,0000000,00,3,3,3,0000000000000000,0,0,3,0000000000000000,0,1,0000000000000000,8,1,0,00
5,5,0,0000000,00,3,3,3,0000000000000000,0,0,3,0000000000000000,0,1,0000000000000000,8,1,0,00
6,6,0,0000000,00,3,3,3,0000000000000000,0,0,3,0000000000000000,0,1,0000000000000000,8,1,0,00
7,7,0,0000000,00,3,3,3,0000000000000000,0,0,3,0000000000000000,0,1,0000000000000000,8,1,0,00
8,8,0,0000000,00,3,3,3,0000000000000000,0,0,3,0000000000000000,0,1,0000000000000000,8,1,0,00
9,9,0,0000000,00,3,3,3,0000000000000000,0,0,3,0000000000000000,0,1,0000000000000000,8,1,0,00
10,10,0,0000000,00,3,3,3,0000000000000000,0,0,3,0000000000000000,0,1,0000000000000000,8,1,0,00
11,11,0,0000000,00,3,3,3,0000000000000000,0,0,3,0000000000000000,0,1,0000000000000000,8,1,0,00
12,12,0,0000000,00,3,3,3,0000000000000000,0,0,3,0000000000000000,0,1,0000000000000000,8,1,0,00
13,13,0,0000000,00,3,3,3,0000000000000000,0,0,3,0000000000000000,0,1,0000000000000000,8,1,0,00
14,14,0,0000000,00,3,3,3,0000000000000000,0,0,3,0000000000000000,0,1,0000000000000000,8,1,0,00
15,15,0,0000000,00,3,3,3,0000000000000000,0,0,3,0000000000000000,0,1,0000000000000000,8,1,0,00
16,16,0,0000000,00,3,3,3,0000000000000000,0,0,3,0000000000000000,0,1,0000000000000000,8,1,0,00
17,17,0,0000000,00,3,3,3,0000000000000000,0,0,3,0000000000000000,0,1,0000000000000000,8,1,0,00
18,18,0,0000000,00,3,3,3,0000000000000000,0,0,3,0000000000000000,0,1,0000000000000000,8,1,0,00
19,19,0,0000000,00,3,3,3,0000000000000000,0,0,3,0000000000000000,0,1,0000000000000000,8,1,0,00
20,20,0,0000000,00,3,3,3,0000000000000000,0,0,3,0000000000000000,0,1,0000000000000000,8,1,0,00
21,21,0,0000000,00,3,3,3,0000000000000000,0,0,3,0000000000000000,0,1,0000000000000000,8,1,0,00
22,22,0,0000000,00,3,3,3,0000000000000000,0,0,3,0000000000000000,0,1,0000000000000000,8,1,0,00
23,23,0,0000000,00,3,3,3,0000000000000000,0,0,3,0000000000000000,0,1,0000000000000000,8,1,0,00
24,24,0,0000000,00,3,3,3,0000000000000000,0,0,3,0000000000000000,0,1,0000000000000000,8,1,0,00
25,25,0,0000000,00,3,3,3,0000000000000000,0,0,3,0000000000000000,0,1,0000000000000000,8,1,0,00
26,26,0,0000000,00,3,3,3,0000000000000000,0,0,3,0000000000000000,0,1,0000000000000000,8,1,0,00
27,27,0,0000000,00,3,3,3,0000000000000000,0,0,3,0000000000000000,0,1,0000000000000000,8,1,0,00
28,28,0,0000000,00,3,3,3,0000000000000000,0,0,3,0000000000000000,0,1,0000000000000000,8,1,0,00
29,29,0,0000000,00,3,3,3,0000000000000000,0,0,3,0000000000000000,0,1,0000000000000000,8,1,0,00
30,30,0,0000000,00,3,3,3,0000000000000000,0,0,3,0000000000000000,0,1,0000000000000000,8,1,0,00
31,31,0,0000000,00,3,3,3,0000000000000000,0,0,3,0000000000000000,0,1,0000000000000000,8,1,0,00
32,32,0,0000000,00,3,3,3,0000000000000000,0,0,3,0000000000000000,0,1,0000000000000000,8,1,0,00
33,33,0,0000000,00,3,3,3,0000000000000000,0,0,3,0000000000000000,0,1,0000000000000000,8,1,0,00
34,34,0,0000000,00,3,3,3,0000000000000000,0,0,3,0000000000000000,0,1,0000000000000000,8,1,0,00
35,35,0,0000000,00,3,3,3,0000000000000000,0,0,3,0000000000000000,0,1,0000000000000000,8,1,0,00
36,36,0,0000000,00,3,3,3,0000000000000000,0,0,3,0000000000000000,0,1,0000000000000000,8,1,0,00
37,37,0,0000000,00,3,3,3,0000000000000000,0,0,3,0000000000000000,0,1,0000000000000000,8,1,0,00
38,38,0,0000000,00,3,3,3,0000000000000000,0,0,3,0000000000000000,0,1,0000000000000000,8,1,0,00
39,39,0,0000000,00,3,3,3,0000000000000000,0,0,3,0000000000000000,0,1,0000000000000000,8,1,0,00
40,40,0,0000000,00,3,3,3,0000000000000000,0,0,3,0000000000000000,0,1,0000000000000000,8,1,0,00
41,41,0,0000000,00,3,3,3,0000000000000000,0,0,3,0000000000000000,0,1,0000000000000000,8,1,0,00
42,42,0,0000000,00,3,3,3,0000000000000000,0,0,3,0000000000000000,0,1,0000000000000000,8,1,0,00
43,43,0,0000000,00,3,3,3,0000000000000000,0,0,3,0000000000000000,0,1,0000000000000000,8,1,0,00
44,44,0,0000000,00,3,3,3,0000000000000000,0,0,3,0000000000000000,0,1,0000000000000000,8,1,0,00
45,45,0,0000000,00,3,3,3,0000000000000000,0,0,3,0000000000000000,0,1,0000000000000000,8,1,0,00
46,46,0,0000000,00,3,3,3,0000000000000000,0,0,3,0000000000000000,0,1,0000000000000000,8,1,0,00
47,47,0,0000000,00,3,3,3,0000000000000000,0,0,3,0000000000000000,0,1,0000000000000000,8,1,0,00
48,48,0,0000000,00,3,3,3,0000000000000000,0,0,3,0000000000000000,0,1,0000000000000000,8,1,0,00
49,49,0,0000000,00,3,3,3,0000000000000000,0,0,3,0000000000000000,0,1,0000000000000000,8,1,0,00
50,50,0,0000000,00,3,3,3,0000000000000000,0,0,3,0000000000000000,0,1,0000000000000000,8,1,0,00
