config,scenario,family,burst_len,txn_count,gap,id_mode,ok,mismatched,bytes_moved,clk_mhz,wr_cycles,wr_util,wr_bw_mb_s,rd_cycles,rd_util,rd_bw_mb_s,rd_avg_latency_cyc,rd_hist_total,notes
baseline,incremental_bl4,incremental,4,64000,0,0,1,0,2048000,66.667,15294048,0.0126,8.93,15693823,0.0126,8.70,747.00,64000,
baseline,incremental_bl8,incremental,8,64000,0,0,1,0,4096000,66.667,30587386,0.0145,8.93,31386146,0.0141,8.70,750.00,64000,
baseline,incremental_bl16,incremental,16,64000,0,0,1,0,8192000,66.667,61174571,0.0155,8.93,62771811,0.0152,8.70,767.99,64000,
baseline,row_major_bl4,row_major,4,64000,0,0,1,0,2048000,66.667,16265667,0.0126,8.39,16265770,0.0126,8.39,767.98,64000,
baseline,row_major_bl8,row_major,8,64000,0,0,1,0,4096000,66.667,32531633,0.0137,8.39,32531513,0.0137,8.39,767.99,64000,
baseline,row_major_bl16,row_major,16,64000,0,0,1,0,8192000,66.667,65063163,0.0148,8.39,65063122,0.0148,8.39,767.99,64000,
baseline,col_major_bl4,col_major,4,64000,0,0,0,26624,2048000,66.667,16265880,0.0126,8.39,16265771,0.0126,8.39,767.98,64000,26624 beats mismatched
baseline,col_major_bl8,col_major,8,64000,0,0,0,53248,4096000,66.667,32531434,0.0137,8.39,32531517,0.0137,8.39,767.99,64000,53248 beats mismatched
baseline,col_major_bl16,col_major,16,64000,0,0,0,40960,8192000,66.667,65063165,0.0148,8.39,65063047,0.0148,8.39,767.99,64000,40960 beats mismatched
baseline,col_major_interleaved_bl4,col_major_interleaved,4,64000,0,0,1,0,2048000,66.667,2444707,0.0343,55.85,5202613,0.0267,26.24,199.99,64000,
baseline,col_major_interleaved_bl8,col_major_interleaved,8,64000,0,0,1,0,4096000,66.667,6659660,0.0480,41.00,15970941,0.0253,17.10,294.70,64000,
baseline,col_major_interleaved_bl16,col_major_interleaved,16,64000,0,0,1,0,8192000,66.667,22198637,0.0384,24.60,36145214,0.0253,15.11,767.99,64000,
baseline,col_major_bl8_multiid,col_major,8,64000,0,2,0,53248,4096000,66.667,32531437,0.0137,8.39,32531461,0.0137,8.39,416.90,168409,53248 beats mismatched; 1:1 VIOLATION: hist total 168409 != txn_count 64000 (EXTRA returns)
baseline,col_major_bl8_gap,col_major,8,64000,8,0,0,53248,4096000,66.667,32531501,0.0137,8.39,32531443,0.0137,8.39,767.99,64000,53248 beats mismatched
bank_interleave,incremental_bl4,incremental,4,64000,0,0,1,0,2048000,66.667,2086036,0.0400,65.45,2086205,0.0400,65.45,99.66,64000,
bank_interleave,incremental_bl8,incremental,8,64000,0,0,1,0,4096000,66.667,4172066,0.0600,65.45,4172161,0.0600,65.45,100.13,64000,
bank_interleave,incremental_bl16,incremental,16,64000,0,0,1,0,8192000,66.667,8344164,0.0800,65.45,8344401,0.0800,65.45,99.21,64000,
bank_interleave,row_major_bl4,row_major,4,64000,0,0,1,0,2048000,66.667,2086034,0.0400,65.45,2086386,0.0400,65.44,99.89,64000,
bank_interleave,row_major_bl8,row_major,8,64000,0,0,1,0,4096000,66.667,4172051,0.0599,65.45,4172203,0.0600,65.45,99.67,64000,
bank_interleave,row_major_bl16,row_major,16,64000,0,0,1,0,8192000,66.667,8344163,0.0799,65.45,8344187,0.0800,65.45,99.20,64000,
bank_interleave,col_major_bl4,col_major,4,64000,0,0,0,26624,2048000,66.667,4102316,0.0300,33.28,4102357,0.0300,33.28,194.37,64000,26624 beats mismatched
bank_interleave,col_major_bl8,col_major,8,64000,0,0,0,53248,4096000,66.667,4172067,0.0600,65.45,4172260,0.0599,65.45,99.90,64000,53248 beats mismatched
bank_interleave,col_major_bl16,col_major,16,64000,0,0,0,40960,8192000,66.667,8344156,0.0799,65.45,8344192,0.0800,65.45,99.67,64000,40960 beats mismatched
bank_interleave,col_major_interleaved_bl4,col_major_interleaved,4,64000,0,0,1,0,2048000,66.667,4102393,0.0300,33.28,4102368,0.0300,33.28,194.37,64000,
bank_interleave,col_major_interleaved_bl8,col_major_interleaved,8,64000,0,0,1,0,4096000,66.667,4172057,0.0600,65.45,4172188,0.0600,65.45,99.67,64000,
bank_interleave,col_major_interleaved_bl16,col_major_interleaved,16,64000,0,0,1,0,8192000,66.667,8344163,0.0800,65.45,8344244,0.0799,65.45,100.12,64000,
bank_interleave,col_major_bl8_multiid,col_major,8,64000,0,2,0,53248,4096000,66.667,4172051,0.0600,65.45,4172401,0.0600,65.45,55.06,168409,53248 beats mismatched; 1:1 VIOLATION: hist total 168409 != txn_count 64000 (EXTRA returns)
bank_interleave,col_major_bl8_gap,col_major,8,64000,8,0,0,53248,4096000,66.667,4172059,0.0600,65.45,4172233,0.0600,65.45,99.89,64000,53248 beats mismatched
open_page,incremental_bl4,incremental,4,64000,0,0,1,0,2048000,66.667,1183792,0.0400,115.34,1189697,0.0400,114.76,49.23,64000,
open_page,incremental_bl8,incremental,8,64000,0,0,1,0,4096000,66.667,2367527,0.0799,115.34,2379246,0.0799,114.77,49.17,64000,
open_page,incremental_bl16,incremental,16,64000,0,0,1,0,8192000,66.667,4735076,0.1067,115.34,4758515,0.1066,114.77,49.17,64000,
open_page,row_major_bl4,row_major,4,64000,0,0,1,0,2048000,66.667,1183546,0.0400,115.36,1177246,0.0400,115.98,49.13,64000,
open_page,row_major_bl8,row_major,8,64000,0,0,1,0,4096000,66.667,2367105,0.0800,115.36,2354404,0.0799,115.98,49.13,64000,
open_page,row_major_bl16,row_major,16,64000,0,0,1,0,8192000,66.667,4734233,0.1066,115.36,4708758,0.1066,115.98,49.13,64000,
open_page,col_major_bl4,col_major,4,64000,0,0,0,26624,2048000,66.667,4305286,0.0300,31.71,4120972,0.0300,33.13,192.00,64000,26624 beats mismatched
open_page,col_major_bl8,col_major,8,64000,0,0,0,53248,4096000,66.667,5428887,0.0533,50.30,4624623,0.0533,59.05,96.00,64000,53248 beats mismatched
open_page,col_major_bl16,col_major,16,64000,0,0,0,40960,8192000,66.667,7803988,0.0800,69.98,6937073,0.0872,78.73,96.00,64000,40960 beats mismatched
open_page,col_major_interleaved_bl4,col_major_interleaved,4,64000,0,0,1,0,2048000,66.667,1192965,0.0400,114.45,2081025,0.0400,65.61,95.20,64000,
open_page,col_major_interleaved_bl8,col_major_interleaved,8,64000,0,0,1,0,4096000,66.667,2376644,0.0799,114.90,4027802,0.0600,67.80,94.46,64000,
open_page,col_major_interleaved_bl16,col_major_interleaved,16,64000,0,0,1,0,8192000,66.667,4756730,0.1066,114.81,6243075,0.0960,87.48,81.59,64000,
open_page,col_major_bl8_multiid,col_major,8,64000,0,2,0,53248,4096000,66.667,5428889,0.0533,50.30,4624603,0.0533,59.05,68.90,168409,53248 beats mismatched; 1:1 VIOLATION: hist total 168409 != txn_count 64000 (EXTRA returns)
