config,scenario,family,burst_len,txn_count,gap,id_mode,ok,mismatched,bytes_moved,clk_mhz,wr_cycles,wr_util,wr_bw_mb_s,rd_cycles,rd_util,rd_bw_mb_s,rd_avg_latency_cyc,rd_hist_total,notes
baseline,incremental_bl4,incremental,4,64000,0,0,1,0,2048000,66.667,15294280,0.0126,8.93,15693156,0.0126,8.70,747.00,64000,
baseline,incremental_bl8,incremental,8,64000,0,0,1,0,4096000,66.667,30587983,0.0145,8.93,31386245,0.0141,8.70,750.00,64000,
baseline,incremental_bl16,incremental,16,64000,0,0,1,0,8192000,66.667,61174043,0.0155,8.93,62771917,0.0152,8.70,767.99,64000,
baseline,row_major_bl4,row_major,4,64000,0,0,1,0,2048000,66.667,16265861,0.0126,8.39,16265768,0.0126,8.39,767.98,64000,
baseline,row_major_bl8,row_major,8,64000,0,0,1,0,4096000,66.667,32531633,0.0137,8.39,32531657,0.0137,8.39,767.99,64000,
baseline,row_major_bl16,row_major,16,64000,0,0,1,0,8192000,66.667,65063295,0.0148,8.39,65063044,0.0148,8.39,767.99,64000,
baseline,col_major_bl4,col_major,4,64000,0,0,1,0,2048000,66.667,16265663,0.0126,8.39,16265768,0.0126,8.39,767.98,64000,
baseline,col_major_bl8,col_major,8,64000,0,0,1,0,4096000,66.667,32531570,0.0137,8.39,32531441,0.0137,8.39,767.99,64000,
baseline,col_major_bl16,col_major,16,64000,0,0,1,0,8192000,66.667,65063295,0.0148,8.39,65063042,0.0148,8.39,767.99,64000,
baseline,col_major_interleaved_bl4,col_major_interleaved,4,64000,0,0,1,0,2048000,66.667,2444778,0.0399,55.85,5202502,0.0266,26.24,176.14,64000,
baseline,col_major_interleaved_bl8,col_major_interleaved,8,64000,0,0,1,0,4096000,66.667,6659633,0.0480,41.00,15970903,0.0253,17.10,294.71,64000,
baseline,col_major_interleaved_bl16,col_major_interleaved,16,64000,0,0,1,0,8192000,66.667,22198600,0.0384,24.60,36145374,0.0253,15.11,767.99,64000,
baseline,col_major_bl8_multiid,col_major,8,64000,0,2,0,0,4096000,66.667,32531502,0.0137,8.39,32531639,0.0137,8.39,416.59,168409,1:1 VIOLATION: hist total 168409 != txn_count 64000 (EXTRA returns)
baseline,col_major_bl8_gap,col_major,8,64000,8,0,1,0,4096000,66.667,32531632,0.0137,8.39,32531656,0.0137,8.39,767.99,64000,
bank_interleave,incremental_bl4,incremental,4,64000,0,0,1,0,2048000,66.667,2086026,0.0399,65.45,2086203,0.0399,65.45,100.12,64000,
bank_interleave,incremental_bl8,incremental,8,64000,0,0,1,0,4096000,66.667,4172135,0.0599,65.45,4172176,0.0600,65.45,99.67,64000,
bank_interleave,incremental_bl16,incremental,16,64000,0,0,1,0,8192000,66.667,8344164,0.0802,65.45,8344336,0.0799,65.45,100.12,64000,
bank_interleave,row_major_bl4,row_major,4,64000,0,0,1,0,2048000,66.667,2086014,0.0400,65.45,2086320,0.0399,65.44,99.20,64000,
bank_interleave,row_major_bl8,row_major,8,64000,0,0,1,0,4096000,66.667,4172119,0.0599,65.45,4172305,0.0600,65.45,99.90,64000,
bank_interleave,row_major_bl16,row_major,16,64000,0,0,1,0,8192000,66.667,8344164,0.0799,65.45,8344132,0.0801,65.45,99.66,64000,
bank_interleave,col_major_bl4,col_major,4,64000,0,0,1,0,2048000,66.667,4102279,0.0300,33.28,4102406,0.0299,33.28,194.36,64000,
bank_interleave,col_major_bl8,col_major,8,64000,0,0,1,0,4096000,66.667,4172066,0.0600,65.45,4172341,0.0599,65.45,99.90,64000,
bank_interleave,col_major_bl16,col_major,16,64000,0,0,1,0,8192000,66.667,8344163,0.0800,65.45,8344366,0.0799,65.45,99.89,64000,
