config,scenario,family,burst_len,txn_count,gap,id_mode,ok,mismatched,bytes_moved,clk_mhz,wr_cycles,wr_util,wr_bw_mb_s,rd_cycles,rd_util,rd_bw_mb_s,rd_avg_latency_cyc,rd_hist_total,notes
baseline,incremental_bl4,incremental,4,64000,0,0,1,0,2048000,66.667,1183821,0.0400,115.33,1189659,0.0400,114.77,49.15,64000,
baseline,incremental_bl8,incremental,8,64000,0,0,1,0,4096000,66.667,2367562,0.0799,115.34,2379202,0.0799,114.77,49.17,64000,
baseline,incremental_bl16,incremental,16,64000,0,0,1,0,8192000,66.667,4735100,0.1066,115.34,4758561,0.1066,114.77,49.17,64000,
baseline,row_major_bl4,row_major,4,64000,0,0,1,0,2048000,66.667,1183541,0.0400,115.36,1177205,0.0399,115.98,49.13,64000,
baseline,row_major_bl8,row_major,8,64000,0,0,1,0,4096000,66.667,2367157,0.0799,115.36,2354363,0.0799,115.98,49.13,64000,
baseline,row_major_bl16,row_major,16,64000,0,0,1,0,8192000,66.667,4734233,0.1066,115.36,4708751,0.1066,115.98,49.13,64000,
baseline,col_major_bl4,col_major,4,64000,0,0,0,26624,2048000,66.667,4305332,0.0300,31.71,4121037,0.0300,33.13,192.00,64000,26624 beats mismatched
baseline,col_major_bl8,col_major,8,64000,0,0,0,53248,4096000,66.667,5428849,0.0533,50.30,4624624,0.0533,59.05,96.00,64000,53248 beats mismatched
baseline,col_major_bl16,col_major,16,64000,0,0,0,40960,8192000,66.667,7803986,0.0800,69.98,6937085,0.0872,78.73,96.00,64000,40960 beats mismatched
baseline,col_major_interleaved_bl4,col_major_interleaved,4,64000,0,0,1,0,2048000,66.667,1193047,0.0400,114.44,2098550,0.0400,65.06,97.21,64000,
baseline,col_major_interleaved_bl8,col_major_interleaved,8,64000,0,0,1,0,4096000,66.667,2376659,0.0799,114.90,4027896,0.0600,67.79,94.46,64000,
baseline,col_major_interleaved_bl16,col_major_interleaved,16,64000,0,0,1,0,8192000,66.667,4756782,0.1066,114.81,6243150,0.0960,87.48,81.60,64000,
baseline,col_major_bl8_multiid,col_major,8,64000,0,2,0,53248,4096000,66.667,5428892,0.0533,50.30,4624703,0.0533,59.05,96.00,64007,53248 beats mismatched; hist total 64007 != txn_count 64000
baseline,col_major_bl8_gap,col_major,8,64000,8,0,0,53248,4096000,66.667,5428838,0.0533,50.30,4624765,0.0533,59.04,96.01,64000,53248 beats mismatched
bank_interleave,incremental_bl4,incremental,4,64000,0,0,0,60928,2048000,66.667,1189269,0.0399,114.80,1181268,0.0400,115.58,49.40,64000,60928 beats mismatched
bank_interleave,incremental_bl8,incremental,8,64000,0,0,0,56320,4096000,66.667,2378536,0.0799,114.81,2362613,0.0799,115.58,49.49,64000,56320 beats mismatched
bank_interleave,incremental_bl16,incremental,16,64000,0,0,0,47104,8192000,66.667,4757177,0.1066,114.80,4725100,0.1066,115.58,49.51,64000,47104 beats mismatched
bank_interleave,row_major_bl4,row_major,4,64000,0,0,0,60928,2048000,66.667,1183593,0.0400,115.36,1177305,0.0400,115.97,49.13,64000,60928 beats mismatched
bank_interleave,row_major_bl8,row_major,8,64000,0,0,0,56320,4096000,66.667,2367157,0.0799,115.36,2354596,0.0799,115.97,49.13,64000,56320 beats mismatched
bank_interleave,row_major_bl16,row_major,16,64000,0,0,0,47104,8192000,66.667,4734181,0.1066,115.36,4709099,0.1066,115.97,49.13,64000,47104 beats mismatched
bank_interleave,col_major_bl4,col_major,4,64000,0,0,0,43008,2048000,66.667,4122818,0.0300,33.12,4110845,0.0300,33.21,192.00,64000,43008 beats mismatched
bank_interleave,col_major_bl8,col_major,8,64000,0,0,0,36864,4096000,66.667,5202702,0.0532,52.49,4624588,0.0533,59.05,103.11,64000,36864 beats mismatched
bank_interleave,col_major_bl16,col_major,16,64000,0,0,0,8192,8192000,66.667,7644695,0.0872,71.44,6936886,0.0872,78.73,97.07,64000,8192 beats mismatched
bank_interleave,col_major_interleaved_bl4,col_major_interleaved,4,64000,0,0,0,62464,2048000,66.667,1560703,0.0400,87.48,1452024,0.0400,94.03,67.81,64000,62464 beats mismatched
bank_interleave,col_major_interleaved_bl8,col_major_interleaved,8,64000,0,0,0,56320,4096000,66.667,2725198,0.0685,100.20,2601358,0.0685,104.97,60.00,64000,56320 beats mismatched
bank_interleave,col_major_interleaved_bl16,col_major_interleaved,16,64000,0,0,0,47104,8192000,66.667,5096473,0.1063,107.16,4994580,0.1066,109.35,55.32,64000,47104 beats mismatched
bank_interleave,col_major_bl8_multiid,col_major,8,64000,0,2,0,36864,4096000,66.667,5202710,0.0533,52.49,4624627,0.0533,59.05,103.10,64007,36864 beats mismatched; hist total 64007 != txn_count 64000
bank_interleave,col_major_bl8_gap,col_major,8,64000,8,0,0,36864,4096000,66.667,5202707,0.0533,52.49,4624605,0.0533,59.05,103.11,64000,36864 beats mismatched
open_page,incremental_bl4,incremental,4,64000,0,0,0,22725,2048000,66.667,7740645,0.0218,17.64,7892635,0.0200,17.30,370.71,64000,22725 beats mismatched
open_page,incremental_bl8,incremental,8,64000,0,0,0,43981,4096000,66.667,15480600,0.0253,17.64,15785175,0.0253,17.30,369.49,64000,43981 beats mismatched
open_page,incremental_bl16,incremental,16,64000,0,0,0,14254,8192000,66.667,30960475,0.0291,17.64,31571126,0.0282,17.30,372.55,64000,14254 beats mismatched
