Module,naming update,wavedrom,Tested,common/common_force_tb,,
array_multipler.sv,X,,,,,
async_fifo.sv,X,,X,async_fifo,,
barrel_shifter.sv,,,X,barrel_shifter,,
bin2gray.sv,X,,X,async_fifo,,
bin_to_bcd.sv,,,X,bin_to_bcd,,
booths_multiplier.sv,,,,,,
carry_lookahead_adder.sv,,,,,,
carry_lookahead_subtractor.sv,,,,,,
clock_divider.sv,,,,,,
clock_pulse.sv,,,,,,
count_leading_zeros.sv,,,,,,
debounce.sv,,,,,,
decoder.sv,,,,,,
encoder.sv,,,,,,
find_first_set.sv,,,X,leading_one_trailing_one,,
find_last_set.sv,,,X,leading_one_trailing_one,,
fixed_prio_arb.sv,,,X,weighted_round_robin,,
full_adder.sv,X,,,,,
full_subtractor.sv,,,,,,
glitch_free_n_dff_arn.sv,X,,X,async_fifo,,
gray2bin.sv,X,,X,async_fifo,,
half_adder.sv,X,,,,,
half_subtractor.sv,,,,,,
hex_to_7seg.sv,,,test in Si,,,
leading_one_trailing_one.sv,,,X,leading_one_trailing_one,,
lfsr.sv,,,,,,
load_clear_counter.sv,,,,,,
pipelined_divider.sv,,,,,,
priority_encoder_enable.sv,,,,,,
pwm.sv,,,X,pwm,round_robin,
reciprocal_divider.sv,,,,,,
reverse_vector.sv,,,,,,
ripple_carry_adder.sv,,,,,,
ripple_carry_subtractor.sv,,,,,,
round_robin_arbiter.sv,,,X,round_robin,,
rrb_arb.sv,,,X,weighted_round_robin,,
srt_divider.sv,,,,,,
sync_fifo.sv,,,X,sync_fifo,round_robin,weighted_round_robin
unviersal_shift_register.sv,,,,,,
wallis_tree_multiplier.sv,,,,,,
weighted_round_robin.sv,,,X,weighted_round_robin,,
